,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,28711896.10959377,140095.75142437598
ptCorr_10to15_abseta_0p8to1p479,17638860.142093085,109890.39267759885
ptCorr_10to15_abseta_1p479to2p5,14690381.040879518,100185.5436619441
ptCorr_15to20_abseta_0p0to0p8,15589567.55608496,102869.30083126038
ptCorr_15to20_abseta_0p8to1p479,10670644.164105058,85080.70415337522
ptCorr_15to20_abseta_1p479to2p5,10632292.55903624,84748.67228254155
ptCorr_20to25_abseta_0p0to0p8,8245571.1244700095,74432.09694173509
ptCorr_20to25_abseta_0p8to1p479,6182010.572799673,64434.636310763264
ptCorr_20to25_abseta_1p479to2p5,6539122.564473622,65814.06279830934
ptCorr_25to35_abseta_0p0to0p8,8185177.163696404,73478.53449674777
ptCorr_25to35_abseta_0p8to1p479,6211436.704935357,63852.252401309575
ptCorr_25to35_abseta_1p479to2p5,6730962.6083248,65789.36274166412
ptCorr_35to50_abseta_0p0to0p8,4100220.4618858066,49727.47749149858
ptCorr_35to50_abseta_0p8to1p479,3285873.8865369675,44156.281292330365
ptCorr_35to50_abseta_1p479to2p5,3567524.8570532463,45223.42689790527
ptCorr_50to100_abseta_0p0to0p8,1977661.366248503,26568.18570127552
ptCorr_50to100_abseta_0p8to1p479,1581466.3479106296,23372.804379878817
ptCorr_50to100_abseta_1p479to2p5,1880283.7605579784,25107.72509878135
