,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,0.5668622286506723,0.004600361569350644
ptCorr_10to15_abseta_0p8to1p479,0.5973501722198452,0.006086871933331039
ptCorr_10to15_abseta_1p479to2p5,0.675131828235808,0.007254648786563141
ptCorr_15to20_abseta_0p0to0p8,0.3712764789704085,0.004711991845899283
ptCorr_15to20_abseta_0p8to1p479,0.42632664563447475,0.006220357500684328
ptCorr_15to20_abseta_1p479to2p5,0.4942838713226841,0.006852621252513721
ptCorr_20to25_abseta_0p0to0p8,0.28496006291436443,0.005465242354603676
ptCorr_20to25_abseta_0p8to1p479,0.3244598602631803,0.006841030092743557
ptCorr_20to25_abseta_1p479to2p5,0.3918511341527906,0.007435930695161115
ptCorr_25to35_abseta_0p0to0p8,0.20097717694922093,0.0044182573322593035
ptCorr_25to35_abseta_0p8to1p479,0.24425577740356919,0.005681984667575915
ptCorr_25to35_abseta_1p479to2p5,0.293381412895437,0.006027103063267032
ptCorr_35to50_abseta_0p0to0p8,0.14285637680662847,0.004927360075210883
ptCorr_35to50_abseta_0p8to1p479,0.19048830928552865,0.006443015366729097
ptCorr_35to50_abseta_1p479to2p5,0.20806035720297394,0.00633214412431345
ptCorr_50to100_abseta_0p0to0p8,0.1087666791131179,0.004489475336601819
ptCorr_50to100_abseta_0p8to1p479,0.1490463475476355,0.006020000972558691
ptCorr_50to100_abseta_1p479to2p5,0.18782585195763418,0.00642225374131161
