,Central,Stat,PromptNormUp,PromptNormDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p8,0.5574946063365029,0.025583532132131402,0.5572455328326225,0.5577432610888065,0.5566272717740548,0.5632597749129652,0.5288331945700495
ptCorr_10to15_abseta_0p8to1p479,0.589806527583475,0.033223954550988845,0.5895745600268129,0.5900381010276765,0.6050222612194355,0.5974111938195741,0.6506500821324275
ptCorr_10to15_abseta_1p479to2p5,0.6602284041742277,0.034398555142884236,0.6600889651049465,0.6603676425593936,0.6718039184209298,0.6565735812319342,0.6187734130728599
ptCorr_15to20_abseta_0p0to0p8,0.32412225163527797,0.020616641959073565,0.32340786526938636,0.324834613210664,0.3404554960054874,0.3348120290879022,0.343295842180698
ptCorr_15to20_abseta_0p8to1p479,0.39272535918024126,0.027593985077463745,0.39217394971983227,0.393275346370616,0.3847355720428234,0.37912996032605534,0.37954885679079076
ptCorr_15to20_abseta_1p479to2p5,0.4457658883103574,0.024506319686158188,0.445462061804612,0.4460691813610171,0.43534473659755935,0.4647246361000565,0.5108285857068461
ptCorr_20to25_abseta_0p0to0p8,0.20561188823514767,0.01876452333618224,0.2039636321124541,0.2072514696254609,0.20827569538555413,0.22918709183608743,0.20728165667927612
ptCorr_20to25_abseta_0p8to1p479,0.2983934267591546,0.02739012668175797,0.29715215794508903,0.299628790772941,0.3504090178050192,0.2999087117731915,0.2988591132021857
ptCorr_20to25_abseta_1p479to2p5,0.29334779018949997,0.01734584987363057,0.2928180447905144,0.2938764046731083,0.2955122860865745,0.31455750364968504,0.3267266178147754
ptCorr_25to35_abseta_0p0to0p8,0.169431522736766,0.01714935759757059,0.16518977746563965,0.17362070882042255,0.18460054320410244,0.17123796578091516,0.1869640988585604
ptCorr_25to35_abseta_0p8to1p479,0.19292160015516654,0.01865345157678971,0.19045053949234642,0.19537333316966624,0.1652609774107889,0.18937126726435244,0.27811045779548277
ptCorr_25to35_abseta_1p479to2p5,0.1992605157856665,0.011163884054679222,0.19832831594895597,0.20018980066243755,0.2025789292292947,0.21501223610765682,0.3312779067005949
ptCorr_35to50_abseta_0p0to0p8,0.1300971155968137,0.015749805663358117,0.11805186990548479,0.141773111432218,0.13925741114236684,0.13371660259771068,0.11271641263170816
ptCorr_35to50_abseta_0p8to1p479,0.15702789672534556,0.01548557542313189,0.14885990261812385,0.1650124427388689,0.15071333704536774,0.16576520104932824,0.17672329141525348
ptCorr_35to50_abseta_1p479to2p5,0.16723533583033554,0.007943869274087998,0.16461069966174663,0.1698401964220311,0.14840953009023428,0.17224512242491263,0.18267093479357852
ptCorr_50to100_abseta_0p0to0p8,0.1470760175980545,0.03215606237257487,0.12104224077138345,0.17142962170105275,0.1215026583094671,0.14822564874392657,0.1618089780412819
ptCorr_50to100_abseta_0p8to1p479,0.1865835545070518,0.027266665526480226,0.17241296657517233,0.20019920318675305,0.19033301332916738,0.1801748855742382,0.28913533033865446
ptCorr_50to100_abseta_1p479to2p5,0.17351590969065267,0.01106588043193262,0.16993116142293024,0.17706456640242874,0.16444518257947605,0.17702990540717786,0.16297136703978174
