0,1,2,3,4,5,6,7,8,9,10,11
chromosome,"(64, 'RMSprop', 0.01, 'CyclicLR')","(128, 'Adam', 0.0005, 'StepLR')","(128, 'RMSprop', 0.01, 'CyclicLR')","(64, 'Adadelta', 0.002, 'CyclicLR')","(64, 'Adam', 0.001, 'StepLR')","(128, 'Adam', 0.0001, 'CyclicLR')","(128, 'Adadelta', 0.0001, 'StepLR')","(64, 'RMSprop', 0.001, 'StepLR')","(128, 'Adam', 0.001, 'StepLR')","(128, 'AdamW', 0.0001, 'StepLR')","(64, 'Adadelta', 0.01, 'CyclicLR')","(64, 'Adadelta', 0.0005, 'CyclicLR')"
fitness,0.0005413003081365999,0.0005118590051692999,0.0005969351653068001,0.0006074069700543,0.0005125643525804,0.0005477275810543999,0.0006626165523415,0.0005093009197521999,0.0004773983304935,0.0005695628239994999,0.0006009420889709999,0.0006207597260436999
