syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(2.390350660713023, 0.015352241558106312)","(1.3798409420297342, 0.776627916307386)","(-0.18609835223609664, 0.18609835223609664)","(0.20681064107349964, 0.05949757285758387)","(0.20034092407376525, 0.02663154012674487)","(0.05161338289118579, 0.013726975830972986)"
L1PrefireUp,"(2.3669101533951697, 0.015205487438819111)",-,-,"(0.20517445799735765, 0.05906142004646479)","(0.19860302660766394, 0.026381076138226545)","(0.05083133321631662, 0.013538906346948616)"
L1PrefireDown,"(2.4129661708949803, 0.01549450180988775)",-,-,"(0.2083691407344699, 0.059924914319988164)","(0.20197617434823947, 0.026865891603486163)","(0.052363015855045644, 0.013911633083325818)"
PileupReweightUp,"(2.3618221731677824, 0.015149259861851198)",-,-,"(0.22498817455374026, 0.062366275216943094)","(0.19839859955828215, 0.026418431098174777)","(0.04924296708701271, 0.013497624157286937)"
PileupReweightDown,"(2.415320238069159, 0.015790749886022193)",-,-,"(0.18793874001063327, 0.05734740926439863)","(0.20179057348700874, 0.02734009835374583)","(0.05389315726312463, 0.01415689627729394)"
MuonIDSFUp,"(2.464240690946171, 0.015830221453388395)",-,-,"(0.21411728070840247, 0.06194093613882285)","(0.2067482893220378, 0.02752508205356378)","(0.05318978191074843, 0.014115867555315846)"
MuonIDSFDown,"(2.317740360380246, 0.014886810020039621)",-,-,"(0.1996762391867681, 0.05714325991564898)","(0.19404761648853358, 0.02576057729123635)","(0.050066627568071724, 0.013347096336174024)"
DblMuTrigSFUp,"(2.391180923577383, 0.015357558032466153)",-,-,"(0.20690931703537901, 0.059524575551897864)","(0.20041761809745628, 0.02664292380968382)","(0.05162701326956712, 0.01373183061795013)"
DblMuTrigSFDown,"(2.3895102346721586, 0.015346861325231236)",-,-,"(0.206710628401447, 0.059470236598968634)","(0.20026316084370857, 0.026620016620147142)","(0.0515996583223311, 0.013722052520727212)"
JetResUp,"(2.3879689597961686, 0.0153450462296361)",-,-,"(0.19523022730704118, 0.05500036744883161)","(0.20157330700104337, 0.026908203016875725)","(0.0511388866527014, 0.013801608352567392)"
JetResDown,"(2.3882738830464305, 0.01534372481322656)",-,-,"(0.15652811096188846, 0.04893486590963047)","(0.19917294722183118, 0.02678955432063108)","(0.05010581320517737, 0.013769773180853893)"
JetEnUp,"(2.4110430837572916, 0.015423640763205168)",-,-,"(0.246543506596733, 0.06497109782559472)","(0.20003263779413508, 0.026606074709038967)","(0.05245492560042386, 0.013844984401709023)"
JetEnDown,"(2.3701047542896307, 0.015284580990899504)",-,-,"(0.2023014621309471, 0.05949118962543734)","(0.19804562888876223, 0.026457233839862843)","(0.04973978103729188, 0.013411324193825423)"
MuonEnUp,"(2.39223255849847, 0.01535807239970034)",-,-,"(0.2078100457960609, 0.059504592392455)","(0.1971092465038345, 0.026532969894958913)","(0.05147159250520322, 0.013734724566248004)"
MuonEnDown,"(2.387865367763877, 0.015344708994555561)",-,-,"(0.20773318854040798, 0.05950114899982058)","(0.20721463297926537, 0.026708919196179227)","(0.051771713071307596, 0.013719577510934682)"
NonpromptUp,-,"(2.684719810230565, 1.3656113857494463)",-,-,-,-
NonpromptDown,-,"(0.9579316506753595, 0.7266069137134553)",-,-,-,-
ConversionUp,-,-,"(-0.2546657930499954, 0.2546657930499954)",-,-,-
ConversionDown,-,-,"(-0.11753091142219783, 0.11753091142219783)",-,-,-
