prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_15to20_EB1, 6498.000000, 0.877993, 0.039560
ptcorr_15to20_EB2, 4893.000000, 0.149132, 0.368650
ptcorr_15to20_EE, 9602.000000, 0.145071, 0.444869
ptcorr_20to25_EB1, 5605.000000, 0.037234, 0.462380
ptcorr_20to25_EB2, 5174.000000, 0.060869, 0.486453
ptcorr_20to25_EE, 11094.000000, 0.237003, 0.418650
ptcorr_25to35_EB1, 7106.000000, 0.129029, 0.378833
ptcorr_25to35_EB2, 7228.000000, 0.196560, 0.376518
ptcorr_25to35_EE, 18529.000000, 0.401726, 0.285073
ptcorr_35to50_EB1, 5788.000000, 0.413196, 0.096042
ptcorr_35to50_EB2, 6236.000000, 0.446734, 0.054569
ptcorr_35to50_EE, 17828.000000, 0.508391, 0.000005
ptcorr_50to100_EB1, 4800.000000, 0.429255, 0.000000
ptcorr_50to100_EB2, 5133.000000, 0.399506, 0.000000
ptcorr_50to100_EE, 15786.000000, 0.370120, 0.000000
ptcorr_100to200_EB1, 660.000000, 0.411452, 0.000033
ptcorr_100to200_EB2, 681.000000, 0.170666, 0.137882
ptcorr_100to200_EE, 2138.000000, 0.010054, 0.064120
