prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_15to20_EB1, 846.000000, 0.904267, 0.000000
ptcorr_15to20_EB2, 536.000000, 0.312872, 0.369632
ptcorr_15to20_EE, 793.000000, 0.100639, 0.489893
ptcorr_20to25_EB1, 706.000000, 0.085493, 0.499259
ptcorr_20to25_EB2, 546.000000, 0.006966, 0.572695
ptcorr_20to25_EE, 847.000000, 0.000000, 0.562026
ptcorr_25to35_EB1, 737.000000, 0.000010, 0.558976
ptcorr_25to35_EB2, 669.000000, 0.000000, 0.573914
ptcorr_25to35_EE, 1199.000000, 0.025968, 0.487888
ptcorr_35to50_EB1, 527.000000, 0.000610, 0.394911
ptcorr_35to50_EB2, 555.000000, 0.067353, 0.407414
ptcorr_35to50_EE, 1059.000000, 0.035219, 0.416458
ptcorr_50to100_EB1, 505.000000, 0.062052, 0.291015
ptcorr_50to100_EB2, 475.000000, 0.006163, 0.274988
ptcorr_50to100_EE, 1018.000000, 0.038323, 0.218960
ptcorr_100to200_EB1, 99.000000, 0.132837, 0.255678
ptcorr_100to200_EB2, 82.000000, 0.000000, 0.338401
ptcorr_100to200_EE, 175.000000, 0.013785, 0.139789
