prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_15to20_EB1, 3294.000000, 0.810033, 0.061284
ptcorr_15to20_EB2, 2439.000000, 0.146146, 0.367963
ptcorr_15to20_EE, 5258.000000, 0.075738, 0.482740
ptcorr_20to25_EB1, 1841.000000, 0.000011, 0.407039
ptcorr_20to25_EB2, 1644.000000, 0.008527, 0.440314
ptcorr_20to25_EE, 3962.000000, 0.058187, 0.436673
ptcorr_25to35_EB1, 2158.000000, 0.125958, 0.191765
ptcorr_25to35_EB2, 1982.000000, 0.081762, 0.270936
ptcorr_25to35_EE, 4737.000000, 0.154056, 0.283844
ptcorr_35to50_EB1, 2109.000000, 0.187971, 0.000001
ptcorr_35to50_EB2, 1979.000000, 0.226120, 0.017023
ptcorr_35to50_EE, 3920.000000, 0.233591, 0.115592
ptcorr_50to100_EB1, 2185.000000, 0.177661, 0.000004
ptcorr_50to100_EB2, 1986.000000, 0.191469, 0.000012
ptcorr_50to100_EE, 3486.000000, 0.221815, 0.016856
ptcorr_100to200_EB1, 399.000000, 0.271366, 0.004654
ptcorr_100to200_EB2, 355.000000, 0.150741, 0.181777
ptcorr_100to200_EE, 561.000000, 0.136749, 0.059030
