prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_15to20_EB1, 454.000000, 0.815912, 0.000000
ptcorr_15to20_EB2, 298.000000, 0.217615, 0.369164
ptcorr_15to20_EE, 471.000000, 0.083364, 0.497478
ptcorr_20to25_EB1, 256.000000, 0.056927, 0.398347
ptcorr_20to25_EB2, 192.000000, 0.047004, 0.494875
ptcorr_20to25_EE, 343.000000, 0.038303, 0.507152
ptcorr_25to35_EB1, 237.000000, 0.042633, 0.369007
ptcorr_25to35_EB2, 186.000000, 0.000001, 0.423221
ptcorr_25to35_EE, 376.000000, 0.018187, 0.411413
ptcorr_35to50_EB1, 207.000000, 0.033300, 0.090819
ptcorr_35to50_EB2, 191.000000, 0.048520, 0.255004
ptcorr_35to50_EE, 270.000000, 0.000032, 0.324464
ptcorr_50to100_EB1, 280.000000, 0.027904, 0.118463
ptcorr_50to100_EB2, 239.000000, 0.000022, 0.142751
ptcorr_50to100_EE, 256.000000, 0.002510, 0.219976
ptcorr_100to200_EB1, 68.000000, 0.001087, 0.286544
ptcorr_100to200_EB2, 47.000000, 0.000000, 0.340136
ptcorr_100to200_EE, 51.000000, 0.012962, 0.196323
