syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(36.95453786036541, 0.1946107114503092)","(10.435338282585553, 2.161152978468068)","(0.15939557236752752, 0.15939557236752752)","(3.6928138036436478, 0.33332456464156424)","(5.114395562363694, 0.13631891498933593)","(1.930000490074255, 0.2862334735534404)"
L1PrefireUp,"(36.56889917201004, 0.1926229895988401)",-,-,"(3.6533960139684774, 0.3298529881036702)","(5.054100677499997, 0.13475372189932103)","(1.9051805472857628, 0.2851139376659463)"
L1PrefireDown,"(37.33333489122843, 0.19657235021587283)",-,-,"(3.7319688339334083, 0.33679909576590344)","(5.173808651779658, 0.13787022349317585)","(1.9544248290425286, 0.28710925380553887)"
PileupReweightUp,"(36.51535244448142, 0.1920504655155971)",-,-,"(3.7521822070538797, 0.3370149093759644)","(5.058834448465413, 0.13448933412337796)","(1.8392110269405948, 0.2294199314613928)"
PileupReweightDown,"(37.358029466092646, 0.20037129597788414)",-,-,"(3.6319249475329314, 0.33564694886602797)","(5.158370807635788, 0.1404324933489353)","(2.0485288373097505, 0.3591077410676324)"
MuonIDSFUp,"(37.47312253814777, 0.19725365698908165)",-,-,"(3.744545929960891, 0.33796252075973715)","(5.190637028080762, 0.13828891022964432)","(1.9733023589984238, 0.30259019872897047)"
MuonIDSFDown,"(36.44082437091953, 0.1920212202719577)",-,-,"(3.6416161209684965, 0.3287801411689868)","(5.038938979402927, 0.13438923654431595)","(1.8876492158103229, 0.2704931617105634)"
DblMuTrigSFUp,"(36.96683041357507, 0.1946737137758556)",-,-,"(3.6941238385108495, 0.3334494556049506)","(5.116181076722828, 0.13636613235686193)","(1.930674723841064, 0.28638635883256985)"
DblMuTrigSFDown,"(36.94209357138737, 0.19454695797822913)",-,-,"(3.6914864942099315, 0.3331980287152539)","(5.112587724264159, 0.13627112116969642)","(1.9293160894479855, 0.2860769319156116)"
JetResUp,"(36.96859958325268, 0.1946981084083789)",-,-,"(3.6654800022578025, 0.3344686443655175)","(5.107528208769855, 0.13621127535543578)","(1.9447305517515885, 0.28624924468601315)"
JetResDown,"(36.90574515816805, 0.1944825606625457)",-,-,"(3.5135383313667368, 0.32605738646430166)","(5.122161817504708, 0.13653117658963018)","(1.9312531845546357, 0.28622315199759846)"
JetEnUp,"(37.471919498394115, 0.19597115364095596)",-,-,"(3.890283851284994, 0.34447822402025297)","(5.119355954065264, 0.13667704763760827)","(1.9454589068766526, 0.286304952366597)"
JetEnDown,"(36.38126831319823, 0.1930838693446631)",-,-,"(3.547426994720452, 0.3256238991188661)","(5.093948294881623, 0.13602696474112871)","(1.9061180328157612, 0.2861480069168323)"
MuonEnUp,"(36.96862043974074, 0.19466881732710659)",-,-,"(3.735736551681833, 0.33208518908539997)","(5.102109247015352, 0.1363786114074649)","(1.9196005482416127, 0.28622324293382834)"
MuonEnDown,"(36.92720477652985, 0.19450381519395524)",-,-,"(3.642979603368062, 0.3326217843594098)","(5.099080016799456, 0.13622261225039667)","(1.9330131653463218, 0.28620790823090747)"
ElectronEnUp,"(36.95387468044982, 0.19460958147942015)",-,-,"(3.6928138036436478, 0.33332456464156424)","(5.1161874131677125, 0.13630713794429822)","(1.930000490074255, 0.2862334735534404)"
ElectronEnDown,"(36.95595062758836, 0.19461331438270552)",-,-,"(3.6928138036436478, 0.33332456464156424)","(5.114395562363694, 0.13631891498933593)","(1.9291968526311842, 0.2862346017091714)"
ElectronResUp,"(36.95453786036541, 0.1946107114503092)",-,-,"(3.6928138036436478, 0.33332456464156424)","(5.114395562363694, 0.13631891498933593)","(1.930000490074255, 0.2862334735534404)"
ElectronResDown,"(36.95453786036541, 0.1946107114503092)",-,-,"(3.6928138036436478, 0.33332456464156424)","(5.114395562363694, 0.13631891498933593)","(1.930000490074255, 0.2862334735534404)"
NonpromptUp,-,"(19.28456321556252, 3.620395381943917)",-,-,-,-
NonpromptDown,-,"(6.637435278746839, 1.999010707803776)",-,-,-,-
ConversionUp,-,-,"(0.21812444526180375, 0.21812444526180375)",-,-,-
ConversionDown,-,-,"(0.10066669947325128, 0.10066669947325128)",-,-,-
