syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(3.9405334639466725, 0.020370162676397227)","(10.324042998018802, 2.208328821561884)","(-1.6782275695428823, 1.8247134430410068)","(1.8038889261939743, 0.2214635475928977)","(2.102596621256403, 0.08623950231484691)","(0.5948116631594722, 0.2498138527124456)"
L1PrefireUp,"(3.8998610083118135, 0.020164941791096208)",-,-,"(1.7864008205861643, 0.21925624669112337)","(2.0791437646469877, 0.085262865366792)","(0.5884552364542247, 0.24739369862453103)"
L1PrefireDown,"(3.979887811506835, 0.020569638822873677)",-,-,"(1.8208841385602124, 0.22363508552947622)","(2.125424737926935, 0.08720250496338593)","(0.6011102907717343, 0.25216013374410445)"
PileupReweightUp,"(3.8842765523259652, 0.02006274070451518)",-,-,"(1.8372827472840512, 0.22052595470035444)","(2.0759099535945107, 0.0849925335527804)","(0.6167449366888224, 0.23381736674169165)"
PileupReweightDown,"(3.9921861159818315, 0.021000709615014945)",-,-,"(1.7737834019467187, 0.22697369005880066)","(2.1251120069623144, 0.08889842809630802)","(0.571997700763735, 0.2638174644327342)"
MuonIDSFUp,"(4.052605675085362, 0.020954706052902724)",-,-,"(1.8495434597398777, 0.22667854057080525)","(2.152082208249307, 0.08825656595413985)","(0.6054198708109785, 0.26030586942569744)"
MuonIDSFDown,"(3.8302621414234013, 0.019800370745709346)",-,-,"(1.7589248389338779, 0.2163461689016052)","(2.053740595520463, 0.08426631523174806)","(0.5842205808383132, 0.23950693064949508)"
DblMuTrigSFUp,"(3.9418565878775476, 0.020376966256636674)",-,-,"(1.8045289035875298, 0.22154471017739977)","(2.103345780084489, 0.08626906620174035)","(0.5948845873433731, 0.24997090115147103)"
DblMuTrigSFDown,"(3.9391949985389143, 0.020363281723725687)",-,-,"(1.803241613864493, 0.22138138868690743)","(2.1018381945888636, 0.08620958612281837)","(0.594739873828728, 0.2496534910305474)"
JetResUp,"(3.938532205097642, 0.02036676606385369)",-,-,"(1.9083796647884144, 0.22327102131396204)","(2.103264019777126, 0.08625791003951751)","(0.5896470293644718, 0.24882693639266878)"
JetResDown,"(3.940158032292071, 0.02037138167626777)",-,-,"(1.7752161016924843, 0.21707958828171234)","(2.10522669968889, 0.08624148366283045)","(0.5855836025858292, 0.24991059515060132)"
JetEnUp,"(3.960833392192331, 0.020427579820333684)",-,-,"(1.9611130308795703, 0.22648066324500293)","(2.1179123754781064, 0.08642564708833322)","(0.5991075927960359, 0.24823837576553484)"
JetEnDown,"(3.918325370883762, 0.020309409349224077)",-,-,"(1.7538092592434842, 0.21399742179189435)","(2.09895527875219, 0.08617902863946876)","(0.5835707617862111, 0.24948996539845036)"
MuonEnUp,"(3.9433559721176916, 0.020382371963791838)",-,-,"(1.8452741933107, 0.22347604605090463)","(2.1035241627688426, 0.08593430951926184)","(0.592155169258002, 0.24980442056842145)"
MuonEnDown,"(3.9396737089564966, 0.02036876448933172)",-,-,"(1.8708571411746753, 0.22279287055267213)","(2.097210785202239, 0.08626670234470858)","(0.5921291498356985, 0.24982193648517664)"
NonpromptUp,-,"(18.59066531133638, 3.8406130568754873)",-,-,-,-
NonpromptDown,-,"(7.907923529757376, 2.0656189544471757)",-,-,-,-
ConversionUp,-,-,"(-3.421318701936016, 3.619456638710487)",-,-,-
ConversionDown,-,-,"(0.06486356285025127, 0.09229641135248205)",-,-,-
