syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(2.3236776986682353, 0.01515267801366607)","(1.3798409420297342, 0.776627916307386)","(-0.18609835223609664, 0.18609835223609664)","(0.20681064107349964, 0.05949757285758387)","(0.20034092407376525, 0.02663154012674487)","(0.05161338289118579, 0.013726975830972986)"
L1PrefireUp,"(2.30037773042034, 0.015005014437333297)",-,-,"(0.20517445799735765, 0.05906142004646479)","(0.19860302660766394, 0.026381076138226545)","(0.05083133321631662, 0.013538906346948616)"
L1PrefireDown,"(2.3458978302363644, 0.015294288579438306)",-,-,"(0.2083691407344699, 0.059924914319988164)","(0.20197617434823947, 0.026865891603486163)","(0.052363015855045644, 0.013911633083325818)"
PileupReweightUp,"(2.289717256214269, 0.014918372157293504)",-,-,"(0.22498817455374026, 0.062366275216943094)","(0.19839859955828215, 0.026418431098174777)","(0.04924296708701271, 0.013497624157286937)"
PileupReweightDown,"(2.355577755264473, 0.015635037553247237)",-,-,"(0.18793874001063327, 0.05734740926439863)","(0.20179057348700874, 0.02734009835374583)","(0.05389315726312463, 0.01415689627729394)"
MuonIDSFUp,"(2.4077732642993475, 0.015704524458249915)",-,-,"(0.21411728070840247, 0.06194093613882285)","(0.2067482893220378, 0.02752508205356378)","(0.05318978191074843, 0.014115867555315846)"
MuonIDSFDown,"(2.241386434259646, 0.01461747360553658)",-,-,"(0.1996762391867681, 0.05714325991564898)","(0.19404761648853358, 0.02576057729123635)","(0.050066627568071724, 0.013347096336174024)"
DblMuTrigSFUp,"(2.3245997322521808, 0.015158671425723986)",-,-,"(0.20690931703537901, 0.059524575551897864)","(0.20041761809745628, 0.02664292380968382)","(0.05162701326956712, 0.01373183061795013)"
DblMuTrigSFDown,"(2.322743984751615, 0.01514661041072056)",-,-,"(0.206710628401447, 0.059470236598968634)","(0.20026316084370857, 0.026620016620147142)","(0.0515996583223311, 0.013722052520727212)"
JetResUp,"(2.3231310056078973, 0.015151939420962036)",-,-,"(0.19523022730704118, 0.05500036744883161)","(0.20157330700104337, 0.026908203016875725)","(0.0511388866527014, 0.013801608352567392)"
JetResDown,"(2.324702796811633, 0.01515325366408595)",-,-,"(0.15652811096188846, 0.04893486590963047)","(0.19917294722183118, 0.02678955432063108)","(0.05010581320517737, 0.013769773180853893)"
JetEnUp,"(2.3400043467868508, 0.015211088868707683)",-,-,"(0.246543506596733, 0.06497109782559472)","(0.20003263779413508, 0.026606074709038967)","(0.05245492560042386, 0.013844984401709023)"
JetEnDown,"(2.3093949477133378, 0.015102160165802733)",-,-,"(0.2023014621309471, 0.05949118962543734)","(0.19804562888876223, 0.026457233839862843)","(0.04973978103729188, 0.013411324193825423)"
MuonEnUp,"(2.3255325823874156, 0.015158083240099644)",-,-,"(0.2078100457960609, 0.059504592392455)","(0.1971092465038345, 0.026532969894958913)","(0.05147159250520322, 0.013734724566248004)"
MuonEnDown,"(2.3207256601638004, 0.015144831947984425)",-,-,"(0.20773318854040798, 0.05950114899982058)","(0.20721463297926537, 0.026708919196179227)","(0.051771713071307596, 0.013719577510934682)"
NonpromptUp,-,"(2.684719810230565, 1.3656113857494463)",-,-,-,-
NonpromptDown,-,"(0.9579316506753595, 0.7266069137134553)",-,-,-,-
ConversionUp,-,-,"(-0.2546657930499954, 0.2546657930499954)",-,-,-
ConversionDown,-,-,"(-0.11753091142219783, 0.11753091142219783)",-,-,-
