syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(38.75583042355465, 0.19616739358687968)","(50.416974428107274, 4.972706619890793)","(0.07606369119219694, 0.44416496942869044)","(33.79790321867018, 1.0757702259761317)","(30.393951962510027, 0.34350823304639705)","(11.684241513307606, 0.2507601989438052)"
L1PrefireUp,"(38.35164862785027, 0.19416429420417977)",-,-,"(33.42918236405278, 1.0645293766047086)","(30.040489491850188, 0.3395890270110104)","(11.528120400638226, 0.24730837368925132)"
L1PrefireDown,"(39.152002933921224, 0.19813966023208457)",-,-,"(34.16355379007171, 1.0870052930662184)","(30.74161608722693, 0.34739159403846004)","(11.838794247016468, 0.2542453326108889)"
PileupReweightUp,"(38.26088638893188, 0.19339079225551467)",-,-,"(34.30155104711709, 1.0854779877235732)","(30.076142673901803, 0.338821889305196)","(11.54981241612568, 0.24749413482868318)"
PileupReweightDown,"(39.206959349292305, 0.20204920148069325)",-,-,"(33.22810287762094, 1.0847382619525594)","(30.661774939158075, 0.35373481054896855)","(11.824552741212, 0.2580403283830223)"
MuonIDSFUp,"(39.40557617259977, 0.1994099017176066)",-,-,"(34.396976265703195, 1.094521963563324)","(30.909138035289985, 0.34922566138686123)","(11.902985535784893, 0.25528414502589214)"
MuonIDSFDown,"(38.1129244870666, 0.19299567140259394)",-,-,"(33.20555165863055, 1.057412787132235)","(29.884316675052673, 0.33791179430654106)","(11.468133431011434, 0.24634093754978734)"
DblMuTrigSFUp,"(38.76789122626717, 0.1962270127899596)",-,-,"(33.811466607949434, 1.0761779822049893)","(30.405294019377028, 0.34363496742934435)","(11.688375349627467, 0.2508432018139582)"
DblMuTrigSFDown,"(38.74362809367858, 0.19610709795814252)",-,-,"(33.784146782742965, 1.0753569739954334)","(30.38246291347328, 0.343379890461261)","(11.680053339181793, 0.2506761786408354)"
JetResUp,"(38.78751418718521, 0.1962278891470957)",-,-,"(33.95624222146396, 1.0757598719709551)","(30.39497201283005, 0.3435183358851021)","(11.727217528688712, 0.2514002781489765)"
JetResDown,"(38.77772031477876, 0.19628757093615995)",-,-,"(33.68314916108643, 1.0753208068517222)","(30.40500549330794, 0.34350815378493965)","(11.661915441412251, 0.2505996203271269)"
JetEnUp,"(39.089673003823364, 0.19702996054859523)",-,-,"(35.75444038787192, 1.1039505831229934)","(30.473680236573365, 0.34412475412708265)","(11.870526213003822, 0.25271043257825415)"
JetEnDown,"(38.39239759927516, 0.19523856995204897)",-,-,"(32.44040235218633, 1.0450121543762905)","(30.278598236290218, 0.34274766672792983)","(11.458068322686405, 0.24896274539718835)"
MuonEnUp,"(38.76082556068132, 0.19617043979205562)",-,-,"(33.852564720011, 1.0782093884377755)","(30.603057177941295, 0.3446169014215498)","(11.755107244645577, 0.25166894041840704)"
MuonEnDown,"(38.74881429473713, 0.19616147572690945)",-,-,"(33.59589023049719, 1.0705679036361344)","(30.126517047774076, 0.3420707814180737)","(11.626978643863405, 0.24989434679820086)"
ElectronEnUp,"(38.75583042355465, 0.19616739358687968)",-,-,"(33.79717681058402, 1.075769980724518)","(30.388097542466397, 0.3434901927188443)","(11.684241513307606, 0.2507601989438052)"
ElectronEnDown,"(38.75583042355465, 0.19616739358687968)",-,-,"(33.79790321867018, 1.0757702259761317)","(30.395317078298415, 0.34351094554871686)","(11.68489648602918, 0.25076572882092374)"
ElectronResUp,"(38.75583042355465, 0.19616739358687968)",-,-,"(33.79790321867018, 1.0757702259761317)","(30.393951962510027, 0.34350823304639705)","(11.684241513307606, 0.2507601989438052)"
ElectronResDown,"(38.75583042355465, 0.19616739358687968)",-,-,"(33.79790321867018, 1.0757702259761317)","(30.393951962510027, 0.34350823304639705)","(11.684241513307606, 0.2507601989438052)"
NonpromptUp,-,"(93.57081867970734, 8.319026298879121)",-,-,-,-
NonpromptDown,-,"(31.898555205769487, 4.589574873461204)",-,-,-,-
ConversionUp,-,-,"(0.1040891550463364, 0.6078163660529409)",-,-,-
ConversionDown,-,-,"(0.04803822733805746, 0.28051357280444006)",-,-,-
