# syst, prompt_ratio, error
Central, 0.16245685177795177, 4.781342760420025e-06
PileupReweight, 0.15801023832074054, 5.830278490110242e-06
L1PrefireUp, 0.16238405261254088, 4.739916459625791e-06
L1PrefireDown, 0.16253426427873546, 4.823214735017785e-06
MuonRecoSFUp, 0.16246078233521177, 4.785120086794356e-06
MuonRecoSFDown, 0.1624529177565387, 4.777566279278624e-06
HeavyTagUpUnCorr, 0.16244643429913336, 4.7824430090746615e-06
HeavyTagDownUnCorr, 0.1624672348028237, 4.779858106447182e-06
LightTagUpUnCorr, 0.1620838397453881, 4.744696891734999e-06
LightTagDownUnCorr, 0.16283148556443694, 4.816311304684722e-06
JetResUp, 0.16281837211370292, 4.859799515768531e-06
JetResDown, 0.16106704870707653, 4.615725471506957e-06
JetEnUp, 0.1609079159669935, 4.212721832055061e-06
JetEnDown, 0.1634435804768382, 5.294486757681793e-06
ElectronResUp, 0.16245684537090388, 4.781338048597949e-06
ElectronResDown, 0.16245685177795177, 4.781342760420025e-06
ElectronEnUp, 0.16245634414326682, 4.781274441253534e-06
ElectronEnDown, 0.1624575669368421, 4.781454788201435e-06
MuonEnUp, 0.16229172512593418, 4.860361680230318e-06
MuonEnDown, 0.16276103064963576, 4.804796507421257e-06
total error = 0.00493377556121975(3.04%)
