# syst, prompt_ratio, error
Central, 0.088376433453048, 2.9456405324028678e-05
PileupReweight, 0.08821451607930518, 3.424663663785645e-05
L1PrefireUp, 0.0884221358914898, 2.883093972956231e-05
L1PrefireDown, 0.08833331977094007, 3.0093436093372695e-05
ElectronRecoSFUp, 0.08787557621546498, 2.9000097845566275e-05
ElectronRecoSFDown, 0.088376433453048, 2.9456405324028678e-05
HeavyTagUpUnCorr, 0.08838527713616601, 2.9455163388225867e-05
HeavyTagDownUnCorr, 0.0883675063931474, 2.9455919195093716e-05
LightTagUpUnCorr, 0.08832943075337524, 2.9370023065571678e-05
LightTagDownUnCorr, 0.08842362690096862, 2.9534779715234658e-05
JetResUp, 0.08828783687432878, 2.93778311304844e-05
JetResDown, 0.0884582141541997, 2.9750893275713677e-05
JetEnUp, 0.0869805564566731, 2.7198581711182007e-05
JetEnDown, 0.08924258972267779, 3.19239362106495e-05
ElectronResUp, 0.08837121129274571, 2.9515002215493127e-05
ElectronResDown, 0.088376433453048, 2.9456405324028678e-05
ElectronEnUp, 0.08831046158149355, 2.866170161187297e-05
ElectronEnDown, 0.0885898629242733, 2.923036203814634e-05
MuonEnUp, 0.08837635729430825, 2.9456387790643907e-05
MuonEnDown, 0.08837660169330891, 2.9456507165449852e-05
total error = 0.0015113702048797355(1.71%)
