# syst, prompt_ratio, error
Central, 0.0526896448195367, 3.10619868071491e-05
PileupReweight, 0.051326268887775424, 4.4766971335168275e-05
L1PrefireUp, 0.05263721178993336, 3.0656945852413434e-05
L1PrefireDown, 0.05275617183317346, 3.152275702768916e-05
MuonRecoSFUp, 0.05268941286490382, 3.108852374686379e-05
MuonRecoSFDown, 0.05268987692374998, 3.103545246726111e-05
HeavyTagUpUnCorr, 0.05269529651756079, 3.108634308436125e-05
HeavyTagDownUnCorr, 0.05268393627220589, 3.103453539487064e-05
LightTagUpUnCorr, 0.052659030555534975, 3.1113694706975375e-05
LightTagDownUnCorr, 0.05272045057703676, 3.099415273748636e-05
JetResUp, 0.05282687112897491, 3.1258848957066394e-05
JetResDown, 0.05255200770345354, 3.109923052887179e-05
JetEnUp, 0.05147863427254538, 2.5684024952005556e-05
JetEnDown, 0.05382629052753772, 3.74251605208036e-05
ElectronResUp, 0.05268964489657324, 3.106195412426717e-05
ElectronResDown, 0.0526896448195367, 3.10619868071491e-05
ElectronEnUp, 0.05268949031768565, 3.1061444995788434e-05
ElectronEnDown, 0.052689872977814564, 3.106299523196878e-05
MuonEnUp, 0.05265823417262454, 3.053825858777196e-05
MuonEnDown, 0.05270306697135128, 3.1640742404487186e-05
total error = 0.001830749425617138(3.47%)
