# syst, prompt_ratio, error
Central, 0.16286249018474552, 3.7955973890725e-05
PileupReweight, 0.16096277876087695, 4.234642130607161e-05
L1PrefireUp, 0.16275238781568113, 3.7749596566673604e-05
L1PrefireDown, 0.16301847136981112, 3.820152522278297e-05
MuonRecoSFUp, 0.16285767295023407, 3.7966458754615156e-05
MuonRecoSFDown, 0.1628673122451909, 3.794547336734352e-05
HeavyTagUpUnCorr, 0.16286829577002315, 3.8017584681782196e-05
HeavyTagDownUnCorr, 0.16285630185513544, 3.791174541202422e-05
LightTagUpUnCorr, 0.1628652929440173, 3.79013633042821e-05
LightTagDownUnCorr, 0.16286029325160736, 3.801008256814691e-05
JetResUp, 0.16282978210781382, 3.7740794634388605e-05
JetResDown, 0.16357494794918082, 3.879049063620362e-05
JetEnUp, 0.15959972401173123, 3.472963861910473e-05
JetEnDown, 0.170659607802622, 4.943100334038635e-05
ElectronResUp, 0.16286248925300809, 3.795597387826539e-05
ElectronResDown, 0.16286249018474552, 3.7955973890725e-05
ElectronEnUp, 0.16286206823988547, 3.795540932955006e-05
ElectronEnDown, 0.16286316045235283, 3.795704529499775e-05
MuonEnUp, 0.1628383622447833, 4.0149710412224285e-05
MuonEnDown, 0.16286448225925743, 3.781393559733339e-05
total error = 0.008058409613752896(4.95%)
