# syst, prompt_ratio, error
Central, 0.4083137902035324, 3.396101175569042e-05
PileupReweight, 0.4059325146473918, 3.95805201765506e-05
L1PrefireUp, 0.4092302744494754, 3.378969720825305e-05
L1PrefireDown, 0.40741320613879495, 3.412741280916788e-05
ElectronRecoSFUp, 0.40850824729692653, 3.421577349560384e-05
ElectronRecoSFDown, 0.4083137902035324, 3.396101175569042e-05
HeavyTagUpUnCorr, 0.40844663938483405, 3.401500715897069e-05
HeavyTagDownUnCorr, 0.40818041903680247, 3.390516015443708e-05
LightTagUpUnCorr, 0.40764130213147354, 3.364129084089075e-05
LightTagDownUnCorr, 0.40898872478564985, 3.428056363879542e-05
JetResUp, 0.4115473017520569, 3.479506904146653e-05
JetResDown, 0.40827134931740194, 3.422133173542599e-05
JetEnUp, 0.40596159428273726, 3.204095257567561e-05
JetEnDown, 0.40938090659838, 3.500029999671037e-05
ElectronResUp, 0.4083122871509144, 3.395512714238401e-05
ElectronResDown, 0.4083137902035324, 3.396101175569042e-05
ElectronEnUp, 0.4082340096691057, 3.6843019013074345e-05
ElectronEnDown, 0.408217207875145, 3.405613725112431e-05
MuonEnUp, 0.4083135460030263, 3.3960952449412064e-05
MuonEnDown, 0.4083145081612397, 3.396121440341161e-05
total error = 0.004797964320637663(1.18%)
