# syst, prompt_ratio, error
Central, 0.14628661205559804, 9.782012717179868e-05
PileupReweight, 0.14626470093416788, 0.00010531285581946923
L1PrefireUp, 0.146168311624181, 9.684649928050087e-05
L1PrefireDown, 0.14640514343964214, 9.879095521089055e-05
ElectronRecoSFUp, 0.14361337981485897, 9.169267229937764e-05
ElectronRecoSFDown, 0.14628661205559804, 9.782012717179868e-05
HeavyTagUpUnCorr, 0.14634039372818786, 9.809609775452597e-05
HeavyTagDownUnCorr, 0.14623210416000582, 9.751369033646158e-05
LightTagUpUnCorr, 0.14611942639955333, 9.730898206648741e-05
LightTagDownUnCorr, 0.14645550339438068, 9.830286507425e-05
JetResUp, 0.14638665739040949, 9.740841667092157e-05
JetResDown, 0.146994603576045, 9.792672370312489e-05
JetEnUp, 0.1412642713496121, 9.315034749376735e-05
JetEnDown, 0.15029417440769904, 0.00011049759248598678
ElectronResUp, 0.14628624454692668, 9.802642022923684e-05
ElectronResDown, 0.14628661205559804, 9.782012717179868e-05
ElectronEnUp, 0.14628617240245656, 0.0001031351584414864
ElectronEnDown, 0.1463156643228652, 9.539232624449967e-05
MuonEnUp, 0.14628648912812273, 9.781997307277235e-05
MuonEnDown, 0.14628687396967738, 9.782062787802981e-05
total error = 0.005738272124025931(3.92%)
