# syst, prompt_ratio, error
Central, 0.1290633740313248, 1.674502583381329e-05
PileupReweight, 0.1276665979257678, 1.9547317397041905e-05
L1PrefireUp, 0.12933627877623993, 1.6499703097489256e-05
L1PrefireDown, 0.12879948817814132, 1.699901404096968e-05
ElectronRecoSFUp, 0.12911927115436367, 1.6917723172259117e-05
ElectronRecoSFDown, 0.1290633740313248, 1.674502583381329e-05
HeavyTagUpUnCorr, 0.12906032873464426, 1.6742551210358112e-05
HeavyTagDownUnCorr, 0.1290662503143409, 1.674608985391514e-05
LightTagUpUnCorr, 0.1290419573049278, 1.6720256380591354e-05
LightTagDownUnCorr, 0.1290850467158564, 1.676173338376145e-05
JetResUp, 0.12907120164775107, 1.6797028436516375e-05
JetResDown, 0.12855020649260218, 1.646524731973398e-05
JetEnUp, 0.12868112903950069, 1.6482166896438017e-05
JetEnDown, 0.12938282862597691, 1.7348276838851614e-05
ElectronResUp, 0.12904747575332476, 1.675071418870981e-05
ElectronResDown, 0.1290633740313248, 1.674502583381329e-05
ElectronEnUp, 0.12884972176806275, 1.6677352299448606e-05
ElectronEnDown, 0.12904846476620097, 1.6928970224716717e-05
MuonEnUp, 0.1290632773717772, 1.6745032664077287e-05
MuonEnDown, 0.1290636482253641, 1.674506448461178e-05
total error = 0.0015762920506013842(1.22%)
