,Central,Stat,PromptNormUp,PromptNormDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p8,0.630265608284734,0.02409713264435987,0.6300721147077185,0.6304588279313779,0.614265631279564,0.6209175007444574,0.6215090839639685
ptCorr_10to15_abseta_0p8to1p579,0.679255761452933,0.03300911178574824,0.6790901083904548,0.6794211786489056,0.6747575065880557,0.6580707080248873,0.7041416251014466
ptCorr_10to15_abseta_1p579to2p5,0.744499077401389,0.03350985934200227,0.7444157484344484,0.7445823263326462,0.7333651183260895,0.744173447227118,0.7686430301417534
ptCorr_15to20_abseta_0p0to0p8,0.3858541950848088,0.021794303496086135,0.38521437105418305,0.3864923188068386,0.372336670339045,0.3827975839895658,0.5051933585236541
ptCorr_15to20_abseta_0p8to1p579,0.4107833985290986,0.025585436004503075,0.4102416279862568,0.41132387911774965,0.41411460608889217,0.412677175624351,0.4572758519419109
ptCorr_15to20_abseta_1p579to2p5,0.5475490339836316,0.02495772171489277,0.5473376235449456,0.5477601811572718,0.5462029652921909,0.5542664265958903,0.5815502517035339
ptCorr_20to25_abseta_0p0to0p8,0.2650211545048216,0.014332316924428193,0.2635720694320201,0.26646341969538473,0.2830485144743858,0.2701544459958695,0.3191314837319312
ptCorr_20to25_abseta_0p8to1p579,0.28879019163482783,0.015838859688440905,0.2877606988075241,0.28981601074814345,0.29817542666356167,0.31083816302594186,0.3281219202938064
ptCorr_20to25_abseta_1p579to2p5,0.38951991060681684,0.013988324357971451,0.3890931397331476,0.3899459082845223,0.3998983213945149,0.38337742689090554,0.42854664097022827
ptCorr_25to35_abseta_0p0to0p8,0.18415326495147705,0.011772906134173115,0.18005851057406785,0.18820127908707932,0.18071811423390566,0.19135467861363706,0.2100808975200987
ptCorr_25to35_abseta_0p8to1p579,0.20316056385758766,0.011942027232020713,0.20089133559984043,0.20541442083484465,0.1923269466435626,0.22743222530326207,0.1557165635856487
ptCorr_25to35_abseta_1p579to2p5,0.2481123955866468,0.00854213359143616,0.24726863239219343,0.24895383476692934,0.2376572332893701,0.2669453450422479,0.26099495375894954
ptCorr_35to50_abseta_0p0to0p8,0.1541492780229753,0.007644519647217959,0.14321911938715323,0.1647712670275517,0.1477636774015724,0.1563114092260955,0.1668636307961094
ptCorr_35to50_abseta_0p8to1p579,0.18213542183996037,0.0074162895122015385,0.17465853371204262,0.18945845175693385,0.16988806308705867,0.1926029064432782,0.212142984738472
ptCorr_35to50_abseta_1p579to2p5,0.21476531014993683,0.004511295179372134,0.2121428595610872,0.2173677573956711,0.1957384634005146,0.2245199280247281,0.21886746456012718
ptCorr_50to100_abseta_0p0to0p8,0.1850109186778903,0.01322731394881458,0.16882481289913218,0.20051386159108253,0.18666353059129603,0.18353850718484882,0.2074586710805408
ptCorr_50to100_abseta_0p8to1p579,0.21894562379016666,0.01209486605734803,0.20880731943827463,0.22879277240711854,0.21916250336352694,0.22876224487997618,0.17069153216360758
ptCorr_50to100_abseta_1p579to2p5,0.21902839791278894,0.006312244577881411,0.2155539241654424,0.22246865377610547,0.21832842982484288,0.222840866679496,0.2033870156000874
