syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(118.22426317005925, 0.43717360509042474)","(28.33905887757562, 3.3226154995367967)","(0.5705508794752564, 0.3316209604923507)","(12.551715969469775, 1.0851855910950847)","(15.794045566483927, 0.22287102326824773)","(4.980314071934268, 0.2818097807722096)"
L1PrefireUp,"(117.95209578455551, 0.436166618773122)",-,-,"(12.52301041499855, 1.0827601571842516)","(15.757047154142965, 0.22234903158903435)","(4.968577672289032, 0.28112291962541164)"
L1PrefireDown,"(118.48958008637285, 0.43815571782076973)",-,-,"(12.580130365519883, 1.0875924919364883)","(15.830152842783852, 0.2233797883394526)","(4.991758291437037, 0.28246515719845955)"
PileupReweightUp,"(117.69408292374166, 0.4485742767464222)",-,-,"(12.56443304065998, 1.1706995482182712)","(15.722036415522455, 0.22874553099528522)","(5.016198154629924, 0.3109510736810379)"
PileupReweightDown,"(118.65297133105594, 0.4411265696331132)",-,-,"(12.46804369203993, 1.055613378654033)","(15.858804353862448, 0.22506621220750314)","(4.963211512829598, 0.27369317868349036)"
MuonIDSFUp,"(119.79035942112414, 0.4427185729676769)",-,-,"(12.714547351718428, 1.0991828250945679)","(16.010974126693675, 0.22587780114266187)","(5.0486632530884865, 0.28628924339898987)"
MuonIDSFDown,"(116.67170983156058, 0.43173067969803103)",-,-,"(12.390495889356282, 1.0714377314449548)","(15.579163541364387, 0.21992249430196872)","(4.912625790232908, 0.27738427816660755)"
DblMuTrigSFUp,"(118.23840089145041, 0.43722469887501086)",-,-,"(12.553280497073112, 1.0853161784500118)","(15.796038135620176, 0.22289953158315556)","(4.980860331905525, 0.2818427342934304)"
DblMuTrigSFDown,"(118.20999644067895, 0.4371220564253314)",-,-,"(12.550136293458662, 1.0850537691556603)","(15.792034593874211, 0.22284225217147302)","(4.979762700781459, 0.2817765381456903)"
JetResUp,"(118.46422160508673, 0.4376571310097493)",-,-,"(13.327764818411193, 1.0628494905555241)","(15.809345860023464, 0.22286723624152877)","(4.98858274078616, 0.2805958878549007)"
JetResDown,"(118.05992348147788, 0.4368676989103652)",-,-,"(12.571194422668066, 1.0751035068577055)","(15.78433618874408, 0.22279939930521686)","(4.980536961519731, 0.2829126797383026)"
JetEnUp,"(120.8229935691377, 0.44213510113278087)",-,-,"(14.098140002470355, 1.1388474975293952)","(15.936740093800324, 0.22379866600221782)","(5.085301038615114, 0.28258592752983364)"
JetEnDown,"(115.48258876533863, 0.4316545927533738)",-,-,"(11.684138117115785, 1.033115064581847)","(15.691720181811627, 0.22204208855961988)","(4.813631384243744, 0.28104334886840493)"
MuonEnUp,"(118.26482990120886, 0.43724686038746535)",-,-,"(12.40787988784461, 1.086560837643628)","(15.798483063986257, 0.2227738849417422)","(4.995426551509881, 0.2819009548195815)"
MuonEnDown,"(118.14951081466221, 0.4369862989204564)",-,-,"(12.578657625286107, 1.0796788428858661)","(15.79526236179388, 0.22288728937760507)","(4.97775629627453, 0.28180935259481665)"
ElectronEnUp,"(118.22426317005925, 0.43717360509042474)",-,-,"(12.551715969469775, 1.0851855910950847)","(15.794045566483927, 0.22287102326824773)","(4.980314071934268, 0.2818097807722096)"
ElectronEnDown,"(118.22426317005925, 0.43717360509042474)",-,-,"(12.551715969469775, 1.0851855910950847)","(15.794045566483927, 0.22287102326824773)","(4.980314071934268, 0.2818097807722096)"
ElectronResUp,"(118.22426317005925, 0.43717360509042474)",-,-,"(12.551715969469775, 1.0851855910950847)","(15.794045566483927, 0.22287102326824773)","(4.980314071934268, 0.2818097807722096)"
ElectronResDown,"(118.22426317005925, 0.43717360509042474)",-,-,"(12.551715969469775, 1.0851855910950847)","(15.794045566483927, 0.22287102326824773)","(4.980314071934268, 0.2818097807722096)"
NonpromptUp,-,"(60.11061202222689, 6.243826954604473)",-,-,-,-
NonpromptDown,-,"(11.709341521659614, 3.1535572272169996)",-,-,-,-
ConversionUp,-,-,"(0.810170616828779, 0.47089500302328696)",-,-,-
ConversionDown,-,-,"(0.3309311421217338, 0.1923469179614144)",-,-,-
