syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(107.9847561204773, 0.4056549179439937)","(58.49386846847559, 5.102403850905429)","(11.665901776652863, 5.064392191344138)","(11.944336100997022, 0.944351091236971)","(11.903754914936986, 0.1857789013349293)","(4.419276166114171, 0.3764658950809903)"
L1PrefireUp,"(107.74243353392474, 0.4047456877197006)",-,-,"(11.917616731976153, 0.9422384016135553)","(11.876786519662033, 0.18535792980821697)","(4.409346602643094, 0.3755108309147145)"
L1PrefireDown,"(108.21879919441069, 0.4065335967787146)",-,-,"(11.970524640469575, 0.9464343688128023)","(11.929797616315371, 0.18618615381015274)","(4.428931121261965, 0.3773477573099174)"
PileupReweightUp,"(107.45444186438066, 0.41618144514423644)",-,-,"(12.236621003546277, 1.0104996549511225)","(11.780285824372378, 0.18975277068011784)","(4.356937590159438, 0.3468413914305114)"
PileupReweightDown,"(108.49942211853228, 0.40999288489047836)",-,-,"(11.695004435987396, 0.9230266754405311)","(12.021165711255993, 0.188002921822418)","(4.468803395999682, 0.4102037049910211)"
MuonIDSFUp,"(110.23529143922192, 0.4141633510070313)",-,-,"(12.230550068894605, 0.9645051687543634)","(12.151861480628723, 0.18967621014659164)","(4.5244177118434585, 0.38789380021454734)"
MuonIDSFDown,"(105.76002799763302, 0.39732331531675574)",-,-,"(11.662366117711178, 0.9245953771598373)","(11.658514012654209, 0.18196233997020586)","(4.3154587624476894, 0.3652666400349474)"
DblMuTrigSFUp,"(107.99790197941819, 0.4057040729467627)",-,-,"(11.945769272844267, 0.9444585044859807)","(11.905296995498057, 0.18580281126717238)","(4.419825614357634, 0.37651849231346934)"
DblMuTrigSFDown,"(107.97149195975013, 0.40560532865270305)",-,-,"(11.942889155086545, 0.9442426894443862)","(11.90219873367678, 0.18575477321952968)","(4.41872115109094, 0.37641270770211427)"
JetResUp,"(108.04495759729147, 0.40576834997095845)",-,-,"(12.079604048590326, 0.9492254023064918)","(11.928593921207801, 0.18576566510841297)","(4.456871688651793, 0.3766519226476244)"
JetResDown,"(107.91411861472356, 0.40550867158570103)",-,-,"(11.52377538851, 0.9352480618410522)","(11.896015612837623, 0.18573557343896052)","(4.3763901001659935, 0.37641296804114976)"
JetEnUp,"(109.27598948315864, 0.4083585335961643)",-,-,"(12.93244594265406, 0.9851203208163958)","(11.96720391313464, 0.18646044962346525)","(4.5058847198696, 0.37692854600263015)"
JetEnDown,"(106.71430590792825, 0.4031154270848357)",-,-,"(11.082653176247938, 0.8926434870114096)","(11.802702510235749, 0.18490419824261248)","(4.297657495860612, 0.37555591003204186)"
MuonEnUp,"(108.04822343705814, 0.4057196791513712)",-,-,"(11.835553887178296, 0.9392013834212755)","(11.867216838954143, 0.18550191615125067)","(4.4086846993421265, 0.37643553088637793)"
MuonEnDown,"(107.96878878150982, 0.4056839044837082)",-,-,"(11.894156993631135, 0.9430760395556761)","(11.902006534759321, 0.185808787740874)","(4.402237148696311, 0.37651114827352844)"
ElectronEnUp,"(107.98089247890348, 0.4056447382768133)",-,-,"(11.944336100997022, 0.944351091236971)","(11.902469022535414, 0.185774451047352)","(4.419276166114171, 0.3764658950809903)"
ElectronEnDown,"(107.9847561204773, 0.4056549179439937)",-,-,"(11.944336100997022, 0.944351091236971)","(11.903754914936986, 0.1857789013349293)","(4.419276166114171, 0.3764658950809903)"
ElectronResUp,"(107.9847561204773, 0.4056549179439937)",-,-,"(11.944336100997022, 0.944351091236971)","(11.903754914936986, 0.1857789013349293)","(4.419276166114171, 0.3764658950809903)"
ElectronResDown,"(107.9847561204773, 0.4056549179439937)",-,-,"(11.944336100997022, 0.944351091236971)","(11.903754914936986, 0.1857789013349293)","(4.419276166114171, 0.3764658950809903)"
NonpromptUp,-,"(109.94861945867784, 8.945027754509706)",-,-,-,-
NonpromptDown,-,"(30.083065117752064, 4.8543502006236405)",-,-,-,-
ConversionUp,-,-,"(20.964815138244166, 9.248659991089422)",-,-,-
ConversionDown,-,-,"(2.3669884150615603, 0.9157915627819169)",-,-,-
