syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(74.64347943303856, 0.2853568738473686)","(20.292812747348524, 2.8590295963429275)","(0.0, 0.0)","(8.12966089726988, 0.6648210042523026)","(10.664408861182986, 0.17796949240578772)","(3.2670522756727514, 0.39208770279237065)"
L1PrefireUp,"(74.25499336474299, 0.2840874784306038)",-,-,"(8.085118571352062, 0.66209593919766)","(10.593740880429156, 0.17692043107532046)","(3.2357647881055236, 0.3878733679214581)"
L1PrefireDown,"(75.0257816963036, 0.28664044108177206)",-,-,"(8.173776607948312, 0.667553878899615)","(10.73415606141369, 0.17904598515428652)","(3.2984580256953486, 0.39632898578515885)"
PileupReweightUp,"(74.26653251994966, 0.2948837894652263)",-,-,"(8.23091353547087, 0.693049322575314)","(10.590428292653327, 0.18327400252389975)","(3.2476260043394602, 0.3989634960390259)"
PileupReweightDown,"(74.98629489537116, 0.2882054058438172)",-,-,"(7.924063944570159, 0.6588385003238285)","(10.706821087339488, 0.1799607458483479)","(3.317281414253771, 0.39856711954785023)"
MuonIDSFUp,"(75.97896521313018, 0.29030238261889973)",-,-,"(8.246171822556848, 0.6742051862252718)","(10.822567958029419, 0.18052614455394506)","(3.3216657085299235, 0.39632759539499496)"
MuonIDSFDown,"(73.3213560039304, 0.28051366843230735)",-,-,"(8.014071597898418, 0.6556337536780684)","(10.507824717439894, 0.1754661987648808)","(3.2130105553117203, 0.38793856403721727)"
DblMuTrigSFUp,"(74.65625804450679, 0.28540507607082793)",-,-,"(8.130886358551724, 0.6649299735482224)","(10.666377351127547, 0.17800193744842227)","(3.2676007153324975, 0.39213430919250447)"
DblMuTrigSFDown,"(74.63057998215072, 0.2853082240981689)",-,-,"(8.128424499430235, 0.6647109847723184)","(10.662421254349553, 0.17793673317957626)","(3.2664987207744605, 0.39204079852207036)"
JetResUp,"(74.90324396900871, 0.28583043945514497)",-,-,"(8.483423667711968, 0.6864074238856118)","(10.698049377580046, 0.17797248806941635)","(3.2877413041164223, 0.3926244378906981)"
JetResDown,"(74.37066370385475, 0.28477561374089755)",-,-,"(7.980637624346308, 0.6627448129527947)","(10.66586385209748, 0.1779864606116648)","(3.3252061070044108, 0.3900132718238804)"
JetEnUp,"(76.06692553859104, 0.2882438392004693)",-,-,"(8.523986922561768, 0.6853130898801286)","(10.730612025617214, 0.17838711202434185)","(3.318065110681746, 0.39174785403295387)"
JetEnDown,"(73.24939545492224, 0.2824775392978988)",-,-,"(7.623238984259456, 0.648207405025596)","(10.618484258434806, 0.17754403710275277)","(3.2815602424137773, 0.38948759871434285)"
MuonEnUp,"(74.70213911135522, 0.2854933487787174)",-,-,"(7.98757319378714, 0.6622301187417241)","(10.697814707575162, 0.17810335147003312)","(3.2733964056075178, 0.3920742577774952)"
MuonEnDown,"(74.60836767617029, 0.28529262062402216)",-,-,"(8.048091487783362, 0.6655834552743088)","(10.646274872844348, 0.17794527483617356)","(3.2708831325278793, 0.3920655155636316)"
ElectronEnUp,"(74.64222988199529, 0.285354321371709)",-,-,"(8.12966089726988, 0.6648210042523026)","(10.664408861182986, 0.17796949240578772)","(3.2670522756727514, 0.39208770279237065)"
ElectronEnDown,"(74.6456148196176, 0.2853609239522773)",-,-,"(8.12966089726988, 0.6648210042523026)","(10.664408861182986, 0.17796949240578772)","(3.268170179243903, 0.3920892964483891)"
ElectronResUp,"(74.64347943303856, 0.2853568738473686)",-,-,"(8.12966089726988, 0.6648210042523026)","(10.664408861182986, 0.17796949240578772)","(3.2670522756727514, 0.39208770279237065)"
ElectronResDown,"(74.64347943303856, 0.2853568738473686)",-,-,"(8.12966089726988, 0.6648210042523026)","(10.664408861182986, 0.17796949240578772)","(3.2670522756727514, 0.39208770279237065)"
NonpromptUp,-,"(44.04253986680739, 5.405054084311659)",-,-,-,-
NonpromptDown,-,"(8.126776819584531, 2.413992596835976)",-,-,-,-
ConversionUp,-,-,"(0.0, 0.0)",-,-,-
ConversionDown,-,-,"(0.0, 0.0)",-,-,-
