0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
chromosome,"(128, 'AdamW', 0.001, 'ExponentialLR')","(64, 'AdamW', 0.005, 'CyclicLR')","(128, 'Adam', 0.002, 'CyclicLR')","(64, 'Adam', 0.001, 'CyclicLR')","(64, 'Adam', 0.002, 'StepLR')","(128, 'Adadelta', 0.005, 'CyclicLR')","(64, 'Adam', 0.01, 'StepLR')","(128, 'AdamW', 0.01, 'ExponentialLR')","(64, 'RMSprop', 0.005, 'StepLR')","(128, 'AdamW', 0.005, 'StepLR')","(64, 'Adam', 0.001, 'ExponentialLR')","(64, 'AdamW', 0.001, 'StepLR')","(64, 'AdamW', 0.002, 'StepLR')","(128, 'AdamW', 0.002, 'StepLR')","(128, 'Adam', 0.001, 'StepLR')","(128, 'Adam', 0.001, 'ExponentialLR')","(128, 'Adam', 0.002, 'ExponentialLR')","(128, 'Adam', 0.001, 'CyclicLR')"
fitness,0.5501643189021519,0.5637976277669271,0.5527283400580996,0.5529046203295389,0.5526322692689442,0.7061815752301898,0.5669591173444476,0.5621393790472121,0.8155411814962116,0.5512983030364627,0.5510651539393833,0.5506497061593192,0.5502925629388717,0.549889266218458,0.5496994613692874,0.5494683208238512,0.5481172212532589,0.5450648594129653
