syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(3.1612464719461983, 0.018957703880566584)","(13.747326647626776, 2.4999174598143172)","(-0.7050073593025783, 1.3604218576539657)","(1.4472055929194731, 0.16999455934207616)","(2.2042551975964484, 0.07854556553432192)","(0.8212907808936821, 0.13234153822242958)"
L1PrefireUp,"(3.1290671925664926, 0.018775622057819956)",-,-,"(1.4323884208493953, 0.1684458565422068)","(2.1784209684885294, 0.07769121222275852)","(0.8091131928479538, 0.13112499256599655)"
L1PrefireDown,"(3.192612629553696, 0.019137345835727054)",-,-,"(1.461724565823429, 0.17154666985613148)","(2.229649858548374, 0.07939694939279891)","(0.8332437238527648, 0.13342879924219453)"
PileupReweightUp,"(3.1422981291894607, 0.020565812006039366)",-,-,"(1.4174439217952663, 0.18703428319288848)","(2.2001865382677157, 0.08425891867154166)","(0.8228827588084522, 0.13182279489881615)"
PileupReweightDown,"(3.1823730175706295, 0.018235834884802307)",-,-,"(1.4569262749279683, 0.1584765348963685)","(2.2126570605283358, 0.0758373495146612)","(0.8192904028168077, 0.1328010355116943)"
MuonIDSFUp,"(3.2264442238021154, 0.01935114729082931)",-,-,"(1.483187357033869, 0.17343134976676228)","(2.251451125356122, 0.08016764160663244)","(0.8401180186016973, 0.13587899360187067)"
MuonIDSFDown,"(3.096800665349599, 0.01857200907526359)",-,-,"(1.411727551612819, 0.16662580364836946)","(2.15764544378169, 0.0769558195564273)","(0.8026588233536428, 0.12882054053888561)"
DblMuTrigSFUp,"(3.1617049614712505, 0.018960427244180286)",-,-,"(1.447430062731872, 0.1700175655997856)","(2.2045932796424057, 0.078557586677593)","(0.8214267346857752, 0.13237933739693897)"
DblMuTrigSFDown,"(3.1607818134930925, 0.01895494439086886)",-,-,"(1.4469776963461072, 0.16997122946884488)","(2.2039121550650482, 0.07853337783451997)","(0.8211528327661602, 0.1323031301679054)"
JetResUp,"(3.1636850540800503, 0.018968277387902004)",-,-,"(1.4860240299935785, 0.17231451006411252)","(2.2043750695179254, 0.07854133150357004)","(0.8345574022245762, 0.13221576455561665)"
JetResDown,"(3.15990986597883, 0.018954915127454824)",-,-,"(1.3837492159205826, 0.16939564512764443)","(2.2034406750570232, 0.07853028695222557)","(0.8200386624298581, 0.13237233351466868)"
JetEnUp,"(3.1862965015141813, 0.019039245237545646)",-,-,"(1.5067495783763125, 0.17499100394685288)","(2.212755779586203, 0.07865939290565942)","(0.8390566903711058, 0.1324632718480491)"
JetEnDown,"(3.1378366336447425, 0.01888847117155614)",-,-,"(1.3575597645855229, 0.16833853728007586)","(2.193869645530736, 0.07838539008372729)","(0.8150325754371354, 0.13215033392851544)"
MuonEnUp,"(3.161835953570168, 0.018953568522892306)",-,-,"(1.4328776557920309, 0.1686984890584567)","(2.2073156818272017, 0.07859799425965382)","(0.8134065321076818, 0.13230080680203993)"
MuonEnDown,"(3.160856781386453, 0.018955045490988046)",-,-,"(1.4273828703523201, 0.167911637318285)","(2.199588939605928, 0.07854726927809119)","(0.698566747934069, 0.04955516265347205)"
NonpromptUp,-,"(27.732604540318214, 4.836905877536843)",-,-,-,-
NonpromptDown,-,"(7.9102223476957025, 2.040728580332021)",-,-,-,-
ConversionUp,-,-,"(-1.7851421249570143, 2.6679890785553937)",-,-,-
ConversionDown,-,-,"(0.37512740635185826, 0.19027453102878472)",-,-,-
