syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(1.6518780834575237, 0.013418332115676408)","(1.548551675014218, 0.9559815696022791)","(0.10449602100128108, 0.10449602100128108)","(0.18717381367632768, 0.046158479373498366)","(0.1881467392668092, 0.02313228079398777)","(0.0778154315451489, 0.012577317788636438)"
L1PrefireUp,"(1.635141969586273, 0.013290869691096163)",-,-,"(0.1856303556501155, 0.04581219620338348)","(0.18580405857743243, 0.02289023908212367)","(0.07668059329874637, 0.012428896859700849)"
L1PrefireDown,"(1.6678026524382372, 0.013540930640682272)",-,-,"(0.18866130461894207, 0.046499987921474695)","(0.19042044537908526, 0.02336980997676594)","(0.07893397900540751, 0.012727298600821531)"
PileupReweightUp,"(1.642406815347936, 0.014585473670010948)",-,-,"(0.18614716677885218, 0.0499510733821548)","(0.18895413493605828, 0.02501044764154831)","(0.08149813000968725, 0.013405450828487896)"
PileupReweightDown,"(1.6624280756113539, 0.012890627773785884)",-,-,"(0.18933704268680837, 0.04504060597996404)","(0.1890110048495395, 0.02243784742910968)","(0.07377585505176855, 0.011995370403785571)"
MuonIDSFUp,"(1.7088368337511084, 0.013881502058074952)",-,-,"(0.19269374867308459, 0.047425329554690254)","(0.19463680586646573, 0.02387455885638257)","(0.08013741021931091, 0.012938522646176644)"
MuonIDSFDown,"(1.5961201578429096, 0.012968445967313816)",-,-,"(0.1817682065893171, 0.044927446067338506)","(0.18178227545833342, 0.022408225423904044)","(0.07553793612683704, 0.012225499579525019)"
DblMuTrigSFUp,"(1.652175392199865, 0.01342073573680826)",-,-,"(0.18720296878728343, 0.04616672522092722)","(0.18818554752154934, 0.02313673092969741)","(0.07783119944093377, 0.01257983476224062)"
DblMuTrigSFDown,"(1.6515766768944646, 0.013415895642311847)",-,-,"(0.18714423182850876, 0.046150136355528656)","(0.1881073306540489, 0.02312776328086251)","(0.07779940516245999, 0.012574761658158205)"
JetResUp,"(1.6515588415336349, 0.013418657272927393)",-,-,"(0.1860412165496429, 0.041336306639251016)","(0.18830664695386448, 0.023139616610106422)","(0.07850796997812175, 0.012547171341065477)"
JetResDown,"(1.6508221296465342, 0.01341513910635324)",-,-,"(0.18113126728115103, 0.04665988214147141)","(0.18828606630553582, 0.02314378083320746)","(0.07633480789312665, 0.012180838587308172)"
JetEnUp,"(1.6595058734265697, 0.013450934884490588)",-,-,"(0.19857907786341253, 0.04691131766233254)","(0.18827194555479437, 0.023168050695648444)","(0.07916709332369057, 0.012605456533212303)"
JetEnDown,"(1.6453242866435127, 0.013392189854791917)",-,-,"(0.18499453652852568, 0.046458662650673756)","(0.18819729322011197, 0.023144196479286682)","(0.07712658802698066, 0.012297823709990304)"
MuonEnUp,"(1.6533264510089234, 0.013424828518662125)",-,-,"(0.17918406619265329, 0.04542070913909055)","(0.1844276553219193, 0.0230332225779247)","(0.07674583985092016, 0.012531784756615243)"
MuonEnDown,"(1.6481718104131733, 0.013397153516912294)",-,-,"(0.18665330779235692, 0.046155182772131896)","(0.19539356762252869, 0.02338330147713981)","(0.07754495580188855, 0.01257134140315699)"
NonpromptUp,-,"(2.172742809010885, 1.4921203757930535)",-,-,-,-
NonpromptDown,-,"(1.311178752318965, 0.9237233807027335)",-,-,-,-
ConversionUp,-,-,"(0.1429973008310092, 0.1429973008310092)",-,-,-
ConversionDown,-,-,"(0.06599474117155296, 0.06599474117155296)",-,-,-
