,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,0.6840808084166055,0.012401587608753272
ptCorr_10to15_abseta_0p8to1p579,0.7125274219599882,0.017822088167996884
ptCorr_10to15_abseta_1p579to2p5,0.7428761980450667,0.02498691371594485
ptCorr_15to20_abseta_0p0to0p8,0.44331661825353896,0.017748926379269267
ptCorr_15to20_abseta_0p8to1p579,0.46065018281369063,0.028494239747100702
ptCorr_15to20_abseta_1p579to2p5,0.5726118510050754,0.034390864379882945
ptCorr_20to25_abseta_0p0to0p8,0.31241408967714585,0.019751243173903248
ptCorr_20to25_abseta_0p8to1p579,0.41324720046594005,0.04007227106857405
ptCorr_20to25_abseta_1p579to2p5,0.40536811946292056,0.035777278406364764
ptCorr_25to35_abseta_0p0to0p8,0.20321487400511654,0.019772823134628827
ptCorr_25to35_abseta_0p8to1p579,0.2433791079682042,0.026530515364460553
ptCorr_25to35_abseta_1p579to2p5,0.296155542889522,0.027301552885177445
ptCorr_35to50_abseta_0p0to0p8,0.11932700852352647,0.02090565355910091
ptCorr_35to50_abseta_0p8to1p579,0.189885753066127,0.02754102058497085
ptCorr_35to50_abseta_1p579to2p5,0.22771932054673139,0.02643288413569374
ptCorr_50to100_abseta_0p0to0p8,0.1399923150279201,0.024145268600342783
ptCorr_50to100_abseta_0p8to1p579,0.1708663023289021,0.02586948462527152
ptCorr_50to100_abseta_1p579to2p5,0.19479089755223933,0.018531729079930663
