0,1,2,3,4,5
chromosome,"(128, 'Adam', 0.01, 'StepLR')","(128, 'AdamW', 0.002, 'StepLR')","(128, 'Adam', 0.005, 'StepLR')","(128, 'AdamW', 0.005, 'StepLR')","(64, 'Adadelta', 0.002, 'CyclicLR')","(64, 'RMSprop', 0.01, 'CyclicLR')"
fitness,0.554576484135219,0.5377704041344777,0.5353443031992231,0.5393088935443332,0.7039750551950363,0.8127614430018834
