masspoint,mA,mAErr,sigma,sigmaErr,width,widthErr
MHc-70_MA-15,14.987940711810792,0.0008601290697069297,0.11501817332249037,0.001565050103199991,0.10980066177263559,0.0025907146896508282
MHc-70_MA-40,39.955772756756325,0.0019938640701662575,0.30540582413437145,0.004393192688468665,0.3716076863095304,0.007670923311617658
MHc-70_MA-65,64.90213475907466,0.003311855297872772,0.5857432248840497,0.006605819531767339,0.6231614594705158,0.011583703824681754
MHc-100_MA-15,14.990737399793556,0.0010587717590696982,0.1124871894701785,0.0019255083384411991,0.10716622600092424,0.00316988206678062
MHc-100_MA-60,59.91577720026547,0.0028129222016411914,0.5034227477982598,0.00544470874228175,0.5557746303631858,0.009200937893303639
MHc-100_MA-95,94.84222673108145,0.005089358829292708,0.9023763492929315,0.010464523415606327,0.9827568110009589,0.018451240909783773
MHc-130_MA-15,14.986613976678493,0.0007791927343240773,0.11787564929163846,0.001383151419636521,0.10274599432669645,0.002306909842983551
MHc-130_MA-55,54.93029981281679,0.0025377816250715265,0.46029075325075847,0.00507348596297485,0.47850014326579915,0.00903245698658611
MHc-130_MA-90,89.84659001521932,0.004450104015243866,0.8460066732333666,0.008728467255712222,0.8633373287426791,0.015145073765497223
MHc-130_MA-125,124.76821704925364,0.007125032484085741,1.2827894013766776,0.014562560641079351,1.3846198671909509,0.026220300268966452
MHc-160_MA-15,14.985713462856872,0.0007794989082812323,0.1208762865812667,0.0014067063985222015,0.11074415890242983,0.0023562229570212824
MHc-160_MA-85,84.86680734715853,0.004214912370609883,0.7881028087740687,0.00849789122350149,0.810306422783991,0.015257013794058883
MHc-160_MA-120,119.77687176779823,0.006945454939155895,1.2259803242330962,0.014397135087201831,1.3298082826172368,0.025450806418145722
MHc-160_MA-155,154.66844262072024,0.010985367315711111,1.7243095717048558,0.024418121920202245,1.894722272039643,0.04455406021778338
