syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(8.182396803372562, 0.0320257047073855)","(10.560326624637002, 1.8682458734216387)","(0.11244453217559536, 0.11244453217559536)","(4.9003201090971915, 0.5210923534666649)","(6.280968889466435, 0.13576799398207484)","(1.8265022985799213, 0.2526686653782366)"
L1PrefireUp,"(8.141829184219759, 0.031887917880247696)",-,-,"(4.8741936162316675, 0.5189711784436193)","(6.239730312338758, 0.13496125956510258)","(1.8041235350361007, 0.2515468668397069)"
L1PrefireDown,"(8.222282381632336, 0.032164697377757435)",-,-,"(4.92646039032815, 0.5232164424550771)","(6.321800966856319, 0.13659668488768908)","(1.848956984873648, 0.25378082772837973)"
PileupReweightUp,"(8.128581901706005, 0.03296848590057136)",-,-,"(4.954888319893873, 0.5371694031784898)","(6.225318523309376, 0.13924461027927892)","(1.8811628212811171, 0.252933506737553)"
PileupReweightDown,"(8.222561713607842, 0.03237276082040708)",-,-,"(4.853104110658889, 0.525844545754453)","(6.301550445129015, 0.13732832938482537)","(1.8034688803343135, 0.26788887005903617)"
MuonIDSFUp,"(8.294877834475297, 0.03245775972454374)",-,-,"(4.964667349303188, 0.5279424203044547)","(6.370608236148366, 0.13768651777643598)","(1.8545156139204366, 0.2579912104896113)"
MuonIDSFDown,"(8.070904069022014, 0.03160208196392749)",-,-,"(4.836482755766638, 0.5143769111695986)","(6.1921939988171495, 0.13388909626700604)","(1.7987773375308487, 0.2474209985268575)"
DblMuTrigSFUp,"(8.183795133896343, 0.03203110069068417)",-,-,"(4.901075204980925, 0.5211730231677654)","(6.282141097497837, 0.1357932566683019)","(1.8268051553792681, 0.25270223587766194)"
DblMuTrigSFDown,"(8.180985261493731, 0.032020258659848214)",-,-,"(4.89955810890956, 0.5210109254434308)","(6.279785297337796, 0.1357424881740685)","(1.8261963772752923, 0.2526348055196102)"
JetResUp,"(8.202945210864911, 0.03206725201821944)",-,-,"(4.750562751130684, 0.5265945209711304)","(6.296480821469912, 0.13577726222727443)","(1.85246670657147, 0.2517454780201266)"
JetResDown,"(8.157188340414278, 0.03197001949222181)",-,-,"(4.841282000468614, 0.521641080720469)","(6.278350981307563, 0.13572277486317336)","(1.8132649170167368, 0.252646435442016)"
JetEnUp,"(8.325276089497732, 0.03230902032804592)",-,-,"(4.849923338315141, 0.530637147101553)","(6.324767135701984, 0.13610467714854266)","(1.870932844531847, 0.2519813504385504)"
JetEnDown,"(8.037340426385517, 0.03173640280532619)",-,-,"(4.73984587834731, 0.5102165399917498)","(6.252198575071115, 0.13540769472794914)","(1.7943930001923976, 0.25258832853538105)"
MuonEnUp,"(8.186556343426675, 0.03202853736748085)",-,-,"(4.898593295672077, 0.5194790156289262)","(6.285094977894567, 0.13589193795755422)","(1.8402040958115196, 0.2526813724924943)"
MuonEnDown,"(8.1760293785372, 0.032015305231809836)",-,-,"(5.104892815040917, 0.5188024241190023)","(6.275124715666253, 0.13575110567539617)","(1.8029994442449726, 0.2526484291688695)"
NonpromptUp,-,"(24.96976169131645, 3.9086273437020886)",-,-,-,-
NonpromptDown,-,"(3.3724856492565043, 1.5173935348611505)",-,-,-,-
ConversionUp,-,-,"(0.1545545103269079, 0.1545545103269079)",-,-,-
ConversionDown,-,-,"(0.07033455402428282, 0.07033455402428282)",-,-,-
