syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(4.002032097058439, 0.020512601999211184)","(30.46188383740631, 3.9202225960692094)","(0.1704638805868632, 0.1704638805868632)","(19.114674554282168, 0.7706434957559697)","(16.41783285706067, 0.2467125914405522)","(6.370484908387038, 0.1801585422087295)"
L1PrefireUp,"(3.9604959532386137, 0.0203040670387305)",-,-,"(18.908191341792122, 0.7626103592484842)","(16.22658264068288, 0.24388906854434553)","(6.285269546165981, 0.17765429598613483)"
L1PrefireDown,"(4.042735698361698, 0.02071786971543223)",-,-,"(19.319341636979484, 0.7786721349484204)","(16.60589735700297, 0.24950939440297434)","(6.454945815919156, 0.18268845703748882)"
PileupReweightUp,"(3.9505250363570217, 0.02021575097283556)",-,-,"(19.345173855934636, 0.7768429457425797)","(16.24157992661116, 0.24307399814137012)","(6.303249731195219, 0.17788518205276044)"
PileupReweightDown,"(4.049228876679614, 0.021136804301807182)",-,-,"(18.84826763155091, 0.7771817570977424)","(16.57105515045985, 0.25431508375796574)","(6.439614163489629, 0.1852873064327317)"
MuonIDSFUp,"(4.069164239551764, 0.020854230334729284)",-,-,"(19.45605194478748, 0.7838678778401391)","(16.69713497542208, 0.25084731489823625)","(6.4894805470092, 0.18344136236920008)"
MuonIDSFDown,"(3.935603327271754, 0.020178394122511253)",-,-,"(18.777095753884996, 0.7576939329962014)","(16.141571941887165, 0.24266577306472323)","(6.252956057732492, 0.1769518974432614)"
DblMuTrigSFUp,"(4.003273323145617, 0.020518856580427652)",-,-,"(19.122540557074608, 0.770938261127978)","(16.424105348606144, 0.24680633513241904)","(6.372762982322752, 0.18021984962829066)"
DblMuTrigSFDown,"(4.000776412080785, 0.020506276715417902)",-,-,"(19.106694379608296, 0.7703447640888204)","(16.41147761329649, 0.24661763087212418)","(6.368176277651502, 0.1800964619788558)"
JetResUp,"(4.005571370657116, 0.020520282856504674)",-,-,"(19.1975087685496, 0.7718239439321436)","(16.42501195620512, 0.24675019739394852)","(6.391981210238307, 0.180514520934069)"
JetResDown,"(4.003762678329107, 0.020521696490030893)",-,-,"(19.10232649216102, 0.7715784560311834)","(16.429814495895172, 0.24676246829494106)","(6.347900552239144, 0.18005549642740176)"
JetEnUp,"(4.036655617699599, 0.020602320937929103)",-,-,"(20.239177250816148, 0.7914268321720822)","(16.454581217664835, 0.2471301471277068)","(6.465515392019617, 0.181638579789188)"
JetEnDown,"(3.9645005528926056, 0.020415388512098696)",-,-,"(18.323450512644932, 0.7508153820965653)","(16.348463513553142, 0.24623091890043483)","(6.241709670943734, 0.17882821111742897)"
MuonEnUp,"(4.00378503898245, 0.020516110157942077)",-,-,"(19.374930229946955, 0.7787763660232558)","(16.725424837675167, 0.24926541171472305)","(6.464743431150078, 0.18175153500750516)"
MuonEnDown,"(3.99959353563121, 0.020508559558322613)",-,-,"(18.92852745526259, 0.7670852526458178)","(16.108157165141648, 0.24415314711661118)","(6.209518348301729, 0.17826178545693214)"
NonpromptUp,-,"(56.227288729763224, 6.499704685609405)",-,-,-,-
NonpromptDown,-,"(19.52896094108463, 3.631401342141348)",-,-,-,-
ConversionUp,-,-,"(0.23327084208117424, 0.23327084208117424)",-,-,-
ConversionDown,-,-,"(0.10765691909255215, 0.10765691909255215)",-,-,-
