,Central,Stat
ptCorr_10to15_abseta_0p0to0p9,0.3994936713981352,0.002932740452691911
ptCorr_10to15_abseta_0p9to1p6,0.4112812408548519,0.0034696647723778417
ptCorr_10to15_abseta_1p6to2p4,0.44558633158589156,0.0037082537139498336
ptCorr_15to20_abseta_0p0to0p9,0.21004854536296336,0.0022221860334939365
ptCorr_15to20_abseta_0p9to1p6,0.22819659716939572,0.002706230409678591
ptCorr_15to20_abseta_1p6to2p4,0.2667871240776272,0.003132520754475906
ptCorr_20to30_abseta_0p0to0p9,0.1396466958420791,0.0016500563279765433
ptCorr_20to30_abseta_0p9to1p6,0.16746444740188327,0.0022266151491832867
ptCorr_20to30_abseta_1p6to2p4,0.2093933412928695,0.0027118324342572378
ptCorr_30to50_abseta_0p0to0p9,0.08139846311433802,0.0014441780020838335
ptCorr_30to50_abseta_0p9to1p6,0.10152465081913604,0.0018939203439076143
ptCorr_30to50_abseta_1p6to2p4,0.1423954310051553,0.0024626994656728606
ptCorr_50to100_abseta_0p0to0p9,0.05783677374870807,0.0013521013263384943
ptCorr_50to100_abseta_0p9to1p6,0.07456256738382347,0.0020403775100904967
ptCorr_50to100_abseta_1p6to2p4,0.111930622852623,0.003014673016574661
