,loss/train,loss/valid,acc/train,acc/valid
0,0.00047467256018093656,0.00048405658773013525,0.8316587301587302,0.8277619047619048
1,0.0004939690927664439,0.0005061250158718654,0.8052142857142857,0.8009047619047619
2,0.00047669130445472777,0.0004867734014987946,0.8266507936507936,0.825
3,0.0006635721155575343,0.0006790421690259661,0.6339126984126984,0.6274285714285714
4,0.0005057078696905621,0.0005180550756908598,0.794420634920635,0.7905238095238095
5,0.0006966066483467344,0.0007125025902475629,0.6035158730158731,0.5984761904761905
6,0.0005206675214899911,0.0005333115146273659,0.7821984126984127,0.7784285714285715
7,0.0004834825907434736,0.0004925320063318525,0.8215317460317461,0.82
8,0.0004788405358318299,0.000488473782936732,0.8267619047619048,0.8243809523809524
9,0.000508745676468289,0.0005196209706011273,0.7957142857142857,0.7927619047619048
10,0.0004825550140369506,0.0004921346363567171,0.8226190476190476,0.821
11,0.0005895389744213649,0.0006017607138270423,0.7130555555555556,0.7117142857142857
12,0.00048685481907829407,0.0004956322383312952,0.8190714285714286,0.8175714285714286
13,0.00048533027796518236,0.0004939324571972801,0.8201587301587302,0.8192857142857143
14,0.0004854541477702913,0.0004943044625577473,0.8201984126984126,0.8189047619047619
15,0.0004846804839751077,0.0004943044625577473,0.8201825396825397,0.8189047619047619
