,Central,StatUp,StatDown,PromptNormUp,PromptNormDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p0,0.3580592349021039,0.3613012245230482,0.35472737179421204,0.35792454956494274,0.3581938331019761,0.35908360007464507,0.35590937142438034,0.35929920332427223
ptCorr_10to15_abseta_0p9to0p9,0.40390328002226633,0.40768353225728476,0.39999547339302705,0.4037861679938616,0.40402031668733457,0.4047753551702248,0.40204290122258,0.40499202578606436
ptCorr_10to15_abseta_1p6to1p6,0.44252479387844806,0.44640236569139863,0.43850731411539656,0.4424197838689513,0.4426297366045128,0.4433195088865962,0.4408208513398962,0.44349516635286834
ptCorr_15to20_abseta_0p0to0p0,0.1918197319539892,0.196195589517407,0.18728360226321453,0.19149071862919356,0.19214839036562956,0.19432965702530255,0.1865870297784631,0.19485306635835958
ptCorr_15to20_abseta_0p9to0p9,0.20100077289618934,0.2063824247031989,0.19537570479703723,0.200678792056614,0.20132240089267164,0.20344495955719388,0.19593480162801244,0.203995225384721
ptCorr_15to20_abseta_1p6to1p6,0.23509590861662194,0.2411087821633463,0.2287804190468744,0.23477676614851703,0.23541468217049125,0.23749927165969584,0.2299350832663981,0.23805355837556605
ptCorr_20to30_abseta_0p0to0p0,0.12154992821347577,0.12618198166845168,0.11672878696045796,0.12059308792580341,0.12250432300486191,0.12889660576824763,0.10849369199824996,0.13028420897203444
ptCorr_20to30_abseta_0p9to0p9,0.15600721967221834,0.16200347462885575,0.14970405211248308,0.15509235086934156,0.15691967326226947,0.16290561718228627,0.1430898601223792,0.16445520870408453
ptCorr_20to30_abseta_1p6to1p6,0.18847379291592734,0.1952615353431768,0.1812997694113259,0.18756477055837395,0.1893803141890013,0.1952715238972791,0.17536310647971928,0.19681918227753875
ptCorr_30to50_abseta_0p0to0p0,0.07954616388070074,0.08118091350247308,0.07788800946507445,0.07512411479118636,0.08392269366594447,0.11137573664783978,0.04822881613043909,0.11889224856607757
ptCorr_30to50_abseta_0p9to0p9,0.104616890935235,0.10679926180808316,0.10239490217608072,0.09991325452303272,0.10926654392762152,0.1375327258591604,0.07150436307605655,0.14654388133772472
ptCorr_30to50_abseta_1p6to1p6,0.1322667538386917,0.13490912656127182,0.12956914077143625,0.12684751569732325,0.13761204516116257,0.16869695097178847,0.09166909392949849,0.18011295085739829
ptCorr_50to100_abseta_0p0to0p0,0.09720042857309168,0.10318891741378493,0.09100072752818342,0.07663636397176157,0.11682791245669459,0.15546920712573006,0.025731993123227465,0.25111517464814853
ptCorr_50to100_abseta_0p9to0p9,0.11895664902980253,0.12729164369159893,0.11022934662984267,0.09466796761938086,0.14189568308316042,0.18542248626686603,0.03381857555966331,0.29297574034460055
ptCorr_50to100_abseta_1p6to1p6,0.1835311679525033,0.1937178468104946,0.1727620397678064,0.15637277100732905,0.20886679918898607,0.26277811283941205,0.09227317273614817,0.3694129860953906
