,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,MuonRecoSFUp,MuonRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p9,106821165.67080557,510265.14370481763,106710273.00300628,106669916.86874914,106933240.72998984,106891259.31450483,106751072.02710629,109995846.16429323,104198958.76119286,115496246.23070316,99087380.70416431,106821165.67080557,106821165.67080557,106821165.67080557,106821165.67080557,106687890.59793654,106771813.03633474,43464417.14863904,319917990.68995935,19949639.043504167
ptCorr_10to15_abseta_0p9to1p6,73605205.0089023,435912.6704804956,73392155.39804076,73503949.98490156,73694087.41702367,73664048.75381283,73546361.26399174,75762924.11651136,71743624.68123809,79589290.38199568,68307683.24309537,73605205.0089023,73605205.0089023,73605205.0089023,73605368.16417062,73455740.34963946,73727494.61172536,29509319.58311135,217406788.0380943,12699954.91557465
ptCorr_10to15_abseta_1p6to2p4,63771524.09979871,400158.3475471931,63412041.97848256,63654516.59221685,63878363.181755655,63842381.02658746,63700667.17300994,65421844.19618893,62399788.90008873,68625360.50726773,59117669.306979336,63771524.09979871,63771524.09979871,63771524.09979871,63771524.09979871,63561371.789711505,63913217.693697944,25841054.117960915,187900715.68075746,10190569.650970198
ptCorr_15to20_abseta_0p0to0p9,59397266.33291982,340078.99361525686,59341066.09370748,59315115.956885494,59467620.49908461,59436241.48168276,59358291.184156865,61082677.144005425,57979422.34997598,64223530.36919922,55232315.644484006,59397266.33291982,59397266.33291982,59397266.33291982,59397266.33291982,59563137.608624026,59232737.42493108,24461864.36965496,164063515.24243113,9225332.651752228
ptCorr_15to20_abseta_0p9to1p6,40228178.23807448,272298.42312528566,39974716.45094098,40172893.77601691,40279495.6132347,40260294.05218663,40196062.423962325,41256669.01851969,39302320.97623969,43255368.16464332,37348648.216746055,40228178.23807448,40228178.23807448,40228178.23807448,40228178.23807448,40302255.27162794,40107118.71250044,16708012.029473763,108338794.51906225,6074340.54238667
ptCorr_15to20_abseta_1p6to2p4,33089331.12093252,253842.9921279222,32930422.531654768,33024025.031397473,33150483.787964758,33126091.935936615,33052570.305928424,33884244.69668518,32579656.352504935,35568487.45412074,30861599.520062882,33089331.12093252,33089331.12093252,33089331.12093252,33089331.12093252,33205501.845176093,32940582.22841784,14048978.36971256,87458660.19183095,4637946.429816814
ptCorr_20to30_abseta_0p0to0p9,48057823.394945815,263932.27806980384,47827270.788652666,47985102.26380524,48126196.851613626,48089357.8565748,48026288.93331684,48686161.600914136,47526442.851107895,51139653.5634427,45200904.971435286,48057823.394945815,48057823.394945815,48057823.394945815,48057831.78160353,48112085.322363265,47960795.26195976,21563022.329585038,103616666.12842444,7313638.704416122
ptCorr_20to30_abseta_0p9to1p6,31240018.152011763,209695.95980499053,31075053.35143091,31194758.33491146,31282865.718417402,31264672.42680394,31215363.877219584,31684431.613815457,30870023.82381602,33055161.42953023,29388284.51871556,31240018.152011763,31240018.152011763,31240018.152011763,31240018.152011763,31319049.817371737,31199616.16334125,14463086.383551003,66372695.85918941,4452306.54661768
ptCorr_20to30_abseta_1p6to2p4,24408218.627135545,192159.2124618782,24204866.9840427,24358015.95492818,24455789.765966494,24435317.493166674,24381119.761104412,24628722.469267555,24157553.0352853,25915700.05285786,22987104.070139505,24408218.627135545,24408218.627135545,24408218.627135545,24408218.627135545,24486601.58845768,24343367.065665446,11281362.853189746,50739630.58376872,3353711.5384449083
ptCorr_30to50_abseta_0p0to0p9,22949738.100502353,147803.0971902074,22780188.217522275,22907773.56758083,22989928.44568111,22964797.201901473,22934678.999103244,22969905.072955966,22894076.585841462,23689967.181405395,22136053.309825137,22949738.100502353,22949738.100502353,22949738.100502353,22949738.100502353,23015576.522227053,22881884.780762114,13916764.432691481,33852760.539693944,3431857.6813200004
ptCorr_30to50_abseta_0p9to1p6,14555788.541116728,120992.21695161701,14439903.869231766,14532998.495229702,14577550.06718645,14567189.150838273,14544387.931395182,14559477.284254095,14535118.510898365,14992627.503876502,14044944.491418842,14555788.541116728,14555788.541116728,14555788.541116728,14555788.541116728,14597838.049649742,14510202.405518042,8939532.917350864,21051118.581776474,2151559.918672681
ptCorr_30to50_abseta_1p6to2p4,10849019.312363373,106233.52174914903,10791992.336976029,10824544.45944044,10872650.032585338,10861044.926309738,10836993.698417012,10850470.470520662,10836271.916594233,11179167.425122937,10532306.675036758,10849019.312363373,10849019.312363373,10849019.312363373,10849019.312363373,10895384.663588246,10799180.977176359,6825005.559251675,15722409.550177269,1537781.5034792018
ptCorr_50to100_abseta_0p0to0p9,4563319.69948744,54408.04567587677,4666173.417938037,4694501.926601282,4717689.6156417485,4709328.202060906,4703151.944522635,4698448.92397528,4701981.477996938,4747704.832640371,4651203.725570752,4706240.073291771,4706240.073291771,4706193.534404754,4706240.073291771,4725414.162414562,4691129.367235353,3975401.3739202656,5301466.857345432,797131.7267792777
ptCorr_50to100_abseta_0p9to1p6,2646128.686087158,35158.70105014405,2700625.4964710167,2718729.406533454,2731361.606119127,2727279.0115283453,2722988.3797782124,2727897.032095811,2726598.8222026005,2770019.749636443,2689556.424862664,2725133.6956532826,2725133.6956532826,2725133.6956532826,2725180.44891813,2741448.3015609914,2711115.6407307656,2289103.909287339,3059254.365315907,428599.42371044186
ptCorr_50to100_abseta_1p6to2p4,1761915.5923920858,40421.04006611076,1788418.1058892796,1795039.9731212817,1806629.65802047,1802881.441242741,1798902.4369618683,1791290.4617073208,1794330.0696253479,1813699.9881997749,1779518.601211431,1800891.9391023056,1800891.9391023056,1800891.9391023056,1800891.9391023056,1814893.4739987322,1789284.5881761801,1482951.2665976656,2031352.145207591,278511.59247736336
