syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(3.4657757828149083, 0.01994460919004004)","(33.70266419478202, 4.004341160027887)","(0.30828610617219565, 0.19557585832453545)","(12.904671205736015, 0.5345595149678001)","(14.235685576288494, 0.21454677547678797)","(5.556700646827938, 0.20452937821781328)"
L1PrefireUp,"(3.4308946671704272, 0.01975542368944447)",-,-,"(12.780575102687152, 0.5297510718417097)","(14.062014727617822, 0.21206577264973817)","(5.464299912806129, 0.20231794235520448)"
L1PrefireDown,"(3.500007180587408, 0.02013233505145917)",-,-,"(13.027826691906794, 0.5393841715026948)","(14.407390748075027, 0.2170436380495242)","(5.6488119130787195, 0.20680074071067553)"
PileupReweightUp,"(3.436269702847793, 0.021524982288253395)",-,-,"(12.884577330696501, 0.5864806721236577)","(14.14138090710405, 0.2318226293994134)","(5.453423626441497, 0.20400864947356914)"
PileupReweightDown,"(3.4950958050108603, 0.019222110796458802)",-,-,"(12.813600927189354, 0.5046606127365304)","(14.333460063883413, 0.20633384619885511)","(5.642684626465659, 0.21390633633725745)"
MuonIDSFUp,"(3.522636459243965, 0.020267683758634723)",-,-,"(13.138177561197544, 0.5441341063569085)","(14.478771531954095, 0.21822208717508684)","(5.655383668157324, 0.2088731411086497)"
MuonIDSFDown,"(3.4095203272938543, 0.019628016969135558)",-,-,"(12.67384103235693, 0.5251851641529715)","(13.995383953309203, 0.21094643200257113)","(5.459202855115082, 0.20024749469452852)"
DblMuTrigSFUp,"(3.4662697017666266, 0.019947397498854002)",-,-,"(12.906804605355164, 0.5346472108619835)","(14.238254539226745, 0.21458536002963952)","(5.557559696110221, 0.20455635407115946)"
DblMuTrigSFDown,"(3.4652749374492866, 0.019941782520143118)",-,-,"(12.902504051770817, 0.5344704326372199)","(14.233074547040603, 0.21450756467933718)","(5.55582836615283, 0.20450207072643908)"
JetResUp,"(3.469850688776984, 0.019956378946042533)",-,-,"(13.321560235197492, 0.5434526792473248)","(14.235590223147693, 0.2145295003608482)","(5.534834150386393, 0.20445239265694348)"
JetResDown,"(3.463643150355558, 0.01994136060524531)",-,-,"(12.714330942105901, 0.5367799786548829)","(14.219965461163284, 0.21440028363820504)","(5.5293294591316045, 0.2043146906081214)"
JetEnUp,"(3.4979708891255896, 0.02003912168461391)",-,-,"(13.445995419230744, 0.5462172261522812)","(14.270289529954885, 0.214807533965292)","(5.632865005378341, 0.2053738511280161)"
JetEnDown,"(3.4342638775576053, 0.019857416659317843)",-,-,"(12.196282431902324, 0.5211558356179332)","(14.192163419711818, 0.214161164206826)","(5.475368302291936, 0.20346685167230022)"
MuonEnUp,"(3.4704908287957337, 0.019957669532189644)",-,-,"(13.074202647157554, 0.5376968355129178)","(14.53596353830651, 0.21647408812663585)","(5.669321797583685, 0.20574802754252886)"
MuonEnDown,"(3.4637556149202604, 0.01994072499156248)",-,-,"(12.630028471336713, 0.5298572106170634)","(13.924026923452015, 0.2121040511979611)","(5.448426811290322, 0.20338675083409147)"
NonpromptUp,-,"(64.59804052684429, 7.087041311931593)",-,-,-,-
NonpromptDown,-,"(22.561956442064744, 3.4896889480049946)",-,-,-,-
ConversionUp,-,-,"(0.4218732985611524, 0.26763526094236223)",-,-,-
ConversionDown,-,-,"(0.1946989137832389, 0.1235164557067086)",-,-,-
