masspoint,mA,mAErr,sigma,sigmaErr,width,widthErr
MHc-70_MA-15,14.987031063754985,0.0012194077929751847,0.11369719226373082,0.0023449626643283214,0.11828855837442298,0.003829897795239742
MHc-70_MA-40,39.957134092942056,0.00281287968332121,0.3112579304604184,0.006283726085295476,0.38022013196779475,0.011021920363051302
MHc-70_MA-65,64.90562636012076,0.004736130269958346,0.5969033662881867,0.009618020854653879,0.6505762851460068,0.016833677927910056
MHc-100_MA-15,14.988058917009392,0.0014907227404444277,0.10803177152280491,0.002765567084006374,0.1205638132130426,0.004528229805914853
MHc-100_MA-60,59.915557461246344,0.004004176333590898,0.5090213887817043,0.007762876116443948,0.5838044136652153,0.013183606032686616
MHc-100_MA-95,94.83887948097701,0.007078903705763779,0.9194221805692415,0.015055754446347162,1.0276422781690067,0.026570919146121228
MHc-130_MA-15,14.98764060738882,0.001104252388986015,0.12035531228321722,0.0019346453761433975,0.10595821071574263,0.0032424833708742133
MHc-130_MA-55,54.93191674688869,0.003571280201295922,0.46013290015167196,0.007359573590723129,0.5064412351489265,0.01302263865573009
MHc-130_MA-90,89.84903045444523,0.006440288081337323,0.8641576981651242,0.012855272491070503,0.9232811731900276,0.02236594368581778
MHc-130_MA-125,124.74739096389553,0.010683903636007653,1.3049900691448921,0.02390955997389315,1.539943822566106,0.04272731754641029
MHc-160_MA-15,14.98415805068445,0.0011221115235954043,0.1183690619590107,0.002067173082671702,0.12226086596975,0.0034160557665251956
MHc-160_MA-85,84.85844749567065,0.0062154012625312005,0.7930925835783211,0.012944623502835673,0.87562808154271,0.023184724823390894
MHc-160_MA-120,119.740507314851,0.01017833310557571,1.2614554381401137,0.02171304943754748,1.3786596678957157,0.03850304343398389
MHc-160_MA-155,154.64180269680224,0.016712784866302375,1.7944858834100903,0.037965655965574836,2.0412759111014935,0.07006663913679821
