syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(12.524473200669654, 0.04583566240916567)","(50.585838117602464, 4.8543094240353755)","(0.8732639990823347, 0.3947699158313327)","(25.063910346031076, 1.5282791215417497)","(23.77531237563455, 0.27503217699770116)","(8.978261535173187, 0.34535332664947277)"
L1PrefireUp,"(12.496543023165744, 0.045733386633716254)",-,-,"(25.00883799158076, 1.524844791820241)","(23.72017377410307, 0.274395628366913)","(8.957335889502648, 0.344464143653697)"
L1PrefireDown,"(12.551685920854583, 0.045935356375338104)",-,-,"(25.118403275031163, 1.5316558837445864)","(23.82889542354315, 0.27565074691902064)","(8.998608204360629, 0.3461663699834836)"
PileupReweightUp,"(12.465654162700167, 0.04705635405572174)",-,-,"(26.190741113688773, 1.6365327854394371)","(23.576592141221308, 0.28229189720529546)","(8.900011804990964, 0.3546960364711879)"
PileupReweightDown,"(12.58000726952708, 0.04628275322291976)",-,-,"(24.129786083142324, 1.4945739650846002)","(23.93644003959483, 0.27770162947823096)","(9.063613155329046, 0.3530162480157366)"
MuonIDSFUp,"(12.761703373072978, 0.04669152362513614)",-,-,"(25.493449913333585, 1.5545009268661596)","(24.17056916293759, 0.2795156127336343)","(9.140709212717656, 0.353472547201944)"
MuonIDSFDown,"(12.2899237194374, 0.04499847152119506)",-,-,"(24.638982954459763, 1.5026155958601104)","(23.38407831370999, 0.2706399546194885)","(8.817721597878386, 0.3374119917844507)"
DblMuTrigSFUp,"(12.525918640978501, 0.045840924548806346)",-,-,"(25.06710246364165, 1.5284818657921408)","(23.778604757003706, 0.2750704283853648)","(8.979360767809718, 0.34539825879903874)"
DblMuTrigSFDown,"(12.523015403778212, 0.04583035614294197)",-,-,"(25.060687507157876, 1.5280742413064459)","(23.77198765683405, 0.27499355582023394)","(8.977151635892156, 0.3453079019336764)"
JetResUp,"(12.539310779415484, 0.04587907928052109)",-,-,"(25.97086912917216, 1.5481684586555513)","(23.77461461324739, 0.2750054696327024)","(8.996119201298317, 0.3454966037761037)"
JetResDown,"(12.508044405726261, 0.045802089521522704)",-,-,"(25.541788736924673, 1.5393690358391907)","(23.740039042886938, 0.274899296403341)","(8.940410779151486, 0.34517904647973063)"
JetEnUp,"(12.725155122498489, 0.04624482566856749)",-,-,"(26.971310592602578, 1.6027786735657186)","(23.894773736766734, 0.2760353835845052)","(9.195668571769884, 0.34583892299806046)"
JetEnDown,"(12.32017891845169, 0.04542165672102323)",-,-,"(23.069750137027853, 1.460256625322249)","(23.623913585773376, 0.2740794655102034)","(8.76740904449783, 0.34459477064103794)"
MuonEnUp,"(12.531527718227444, 0.04585100519486113)",-,-,"(24.51429592916141, 1.5146883272215486)","(23.35669684658829, 0.2725210051170243)","(8.725381730290167, 0.3285740109260375)"
MuonEnDown,"(12.513057357012618, 0.045819325924477836)",-,-,"(25.157547945491945, 1.5426094487714543)","(24.212790946592712, 0.2774320967452069)","(9.166361526902781, 0.3464931335312752)"
NonpromptUp,-,"(93.72848978025728, 8.214429276454286)",-,-,-,-
NonpromptDown,-,"(22.38621933954507, 4.665525157359605)",-,-,-,-
ConversionUp,-,-,"(1.2400170751495336, 0.5605652321641656)",-,-,-
ConversionDown,-,-,"(0.506510923015136, 0.2289745994984998)",-,-,-
