syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(6.917079415694617, 0.03250925465086027)","(2.185801630065559, 0.9001910105967317)","(0.028396829565436696, 0.18061284691283527)","(0.9651596691203426, 0.24286590671555533)","(0.6070056237509469, 0.040496670704469835)","(0.17169868571099078, 0.02198605348814442)"
L1PrefireUp,"(6.902873150763041, 0.032442465927858065)",-,-,"(0.9632396784568957, 0.24237050620841394)","(0.6057105351880245, 0.040411974754889564)","(0.1713529888373919, 0.021939930921102694)"
L1PrefireDown,"(6.93044815029373, 0.03257214434924368)",-,-,"(0.9669517325133995, 0.24333537610758077)","(0.6082402264872657, 0.04057723936753308)","(0.17202642934530088, 0.02203021629810154)"
PileupReweightUp,"(6.853762597972693, 0.03319203492969104)",-,-,"(0.9884311787802963, 0.2516452201844998)","(0.6093340280343359, 0.04166455386207834)","(0.17458826018252152, 0.022193862612285963)"
PileupReweightDown,"(6.980283003388918, 0.03297700379830216)",-,-,"(0.9328777333955943, 0.23558172661812055)","(0.6066830640796036, 0.04082641323469043)","(0.16936830861531654, 0.02251184670092134)"
MuonIDSFUp,"(7.155974336655371, 0.03362957816993362)",-,-,"(1.0012075256212938, 0.2503082198265322)","(0.6258757404288647, 0.04174534864637658)","(0.17720143280583284, 0.02262395210458251)"
MuonIDSFDown,"(6.683059436320842, 0.03142099721025469)",-,-,"(0.9299311120982247, 0.23562983634855458)","(0.5884828058953482, 0.03928078671785431)","(0.16629663824563065, 0.021364217068257498)"
DblMuTrigSFUp,"(6.9180854702714445, 0.03251396075396328)",-,-,"(0.9652811010472068, 0.24289144501338594)","(0.607095171130383, 0.040502495223566075)","(0.1717217269281314, 0.021988925980382965)"
DblMuTrigSFDown,"(6.916063722230845, 0.03250450422945965)",-,-,"(0.9650370217535728, 0.24284015179300927)","(0.6069152210421104, 0.040490791906921855)","(0.17167540315826377, 0.021983153552044336)"
JetResUp,"(6.923574537108812, 0.03253393538463117)",-,-,"(1.0215527337806385, 0.2508381291375917)","(0.6049846171093539, 0.0404324570459099)","(0.17307599757028447, 0.021979167995675584)"
JetResDown,"(6.921436881473002, 0.03252493025493269)",-,-,"(0.8937543146264808, 0.23470529469846377)","(0.607828252700604, 0.04052247323555718)","(0.16866060201306368, 0.021545260897227404)"
JetEnUp,"(6.978342573161709, 0.03268027109913791)",-,-,"(1.0905014098989414, 0.2525581078248296)","(0.6080008668194699, 0.04057509494879891)","(0.17609184086837515, 0.02228441248763768)"
JetEnDown,"(6.850130113021019, 0.03232742082580655)",-,-,"(0.9348553105864278, 0.24284778337179944)","(0.6080187670197073, 0.04046783675412058)","(0.167570520177698, 0.02159235744678316)"
MuonEnUp,"(6.91837330545513, 0.03251210377378091)",-,-,"(0.9660786236855632, 0.24286611290850946)","(0.6200377330259951, 0.040559653495162065)","(0.1689424994429824, 0.021896893997059044)"
MuonEnDown,"(6.914090103009886, 0.03250263936994805)",-,-,"(1.0235353407838284, 0.2352746610240772)","(0.6062461027357866, 0.04054681545724096)","(0.17825351538966325, 0.022153908667909172)"
NonpromptUp,-,"(3.9526709528855424, 1.5756487751027266)",-,-,-,-
NonpromptDown,-,"(1.3533069292591176, 0.8567787493229)",-,-,-,-
ConversionUp,-,-,"(0.040322919046537536, 0.2564665603971249)",-,-,-
ConversionDown,-,-,"(0.01647074008433587, 0.10475913342854563)",-,-,-
