syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(4.703484751476207, 0.022694777005599857)","(3.380654031316942, 1.2610203724470406)","(0.13012882758120675, 0.13012882758120675)","(0.5975480136073741, 0.1344211034870657)","(0.3860680773275642, 0.033181433408960646)","(0.3460004574078967, 0.15602551272307777)"
L1PrefireUp,"(4.677304218217365, 0.02258822203616512)",-,-,"(0.5959543906219493, 0.1341237747589545)","(0.38316119752130967, 0.03301349631363595)","(0.34247105265950684, 0.1545035750443473)"
L1PrefireDown,"(4.728972600085295, 0.022801633760729176)",-,-,"(0.5990129850278565, 0.13469369830269162)","(0.38896538452653623, 0.03335369468729542)","(0.34946471573910187, 0.15753352349015473)"
PileupReweightUp,"(4.653986318220541, 0.023298416932036832)",-,-,"(0.602867559913872, 0.13681681800922174)","(0.3835482043347499, 0.034127321137863924)","(0.3250053577517326, 0.1398455104702104)"
PileupReweightDown,"(4.750230652173414, 0.02303753326268764)",-,-,"(0.5719311821342244, 0.12940240284024346)","(0.3886953339404361, 0.03359462905743265)","(0.3583139135815192, 0.16531985515314054)"
MuonIDSFUp,"(4.874562764230153, 0.023522207734801213)",-,-,"(0.6222202996347582, 0.13954853387154573)","(0.3989418921190873, 0.034284870725393414)","(0.35686668009793066, 0.16122318838707936)"
MuonIDSFDown,"(4.536078868429409, 0.021891840521909404)",-,-,"(0.5735336501132284, 0.129505124042143)","(0.37343248834365955, 0.032108647123681826)","(0.33526125700214354, 0.1508872874535157)"
DblMuTrigSFUp,"(4.704330431380282, 0.022698864705169578)",-,-,"(0.597656651852907, 0.13444582488252685)","(0.3861468898709367, 0.03318813541847043)","(0.3460665237337033, 0.15605681789399614)"
DblMuTrigSFDown,"(4.702630975849467, 0.022690650524535328)",-,-,"(0.5974381974995526, 0.1343960948897082)","(0.38598841028088726, 0.03317465910980534)","(0.3459336975053374, 0.15599389055080612)"
JetResUp,"(4.705266138449779, 0.022697567307259206)",-,-,"(0.6780591836825043, 0.14364373863590638)","(0.38354954730414, 0.03329047031984304)","(0.34904575230418355, 0.15598131553569855)"
JetResDown,"(4.7059834340126585, 0.022701357695954216)",-,-,"(0.6646486425506576, 0.14437003517535066)","(0.3878421915798541, 0.03322593717281049)","(0.34291740538813514, 0.15608966123312606)"
JetEnUp,"(4.738987328114041, 0.022788431318324257)",-,-,"(0.551219517510578, 0.14151886543931394)","(0.38874489488018477, 0.03328823620849472)","(0.34524397298432224, 0.1561778961331444)"
JetEnDown,"(4.670654070514055, 0.022607758228340186)",-,-,"(0.5840964375841364, 0.12364110042314742)","(0.382672228178554, 0.03311217969467672)","(0.3395654093192376, 0.1565587620845823)"
MuonEnUp,"(4.704526162591999, 0.022697438997553727)",-,-,"(0.5681041284121155, 0.13772546473770148)","(0.38434497089398006, 0.033175678741339254)","(0.34618227651482536, 0.15601765542830806)"
MuonEnDown,"(4.698677604279647, 0.022683792516459595)",-,-,"(0.5968827758748014, 0.13441771844303732)","(0.3948864826538396, 0.033330432178506814)","(0.3485090501633672, 0.15604377633411787)"
NonpromptUp,-,"(5.957978069134626, 2.08680626558305)",-,-,-,-
NonpromptDown,-,"(2.295988133768882, 1.1632151017872)",-,-,-,-
ConversionUp,-,-,"(0.1788614958602059, 0.1788614958602059)",-,-,-
ConversionDown,-,-,"(0.08139615930220763, 0.08139615930220763)",-,-,-
