syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(3.990007460651106, 0.020732098484195507)","(9.343159696862243, 2.007506054498552)","(0.5054078589470105, 0.35009432520805456)","(1.8442262531835028, 0.2191699948198602)","(1.8260871502893818, 0.07970865475449745)","(0.703302135595489, 0.11154539472566252)"
L1PrefireUp,"(3.949000470718475, 0.020524235381697942)",-,-,"(1.8232423930892538, 0.21679802247904317)","(1.805799885940506, 0.07882629537825378)","(0.6940881648318861, 0.11068372289052893)"
L1PrefireDown,"(4.029776081790808, 0.020934716733430683)",-,-,"(1.8649218934058631, 0.22153450523761636)","(1.8457852468653608, 0.0805738667121808)","(0.7123748312325162, 0.11241034061931691)"
PileupReweightUp,"(3.934204672801452, 0.020424596485426043)",-,-,"(1.836742050814337, 0.2198473022072215)","(1.7912438727070301, 0.07810853308307188)","(0.7106026632108489, 0.13438341701283987)"
PileupReweightDown,"(4.0417126901260385, 0.021368650302319738)",-,-,"(1.8495006781322632, 0.22210926941085377)","(1.8582788727771353, 0.08267015999039606)","(0.6977757187005033, 0.09084970646619393)"
MuonIDSFUp,"(4.1031703644552255, 0.021325733096212482)",-,-,"(1.889588799242343, 0.22457199033094483)","(1.8723448184661677, 0.08171494691015743)","(0.7233541858202693, 0.11588772453314178)"
MuonIDSFDown,"(3.878594045260538, 0.020152695100156822)",-,-,"(1.7996557321524367, 0.21389164140488834)","(1.7804628987639466, 0.0777492987086099)","(0.6835859582534533, 0.10730861724347489)"
DblMuTrigSFUp,"(3.9913090271944576, 0.02073882688148869)",-,-,"(1.844924597157266, 0.21925303967303744)","(1.8267275233006557, 0.07973761785199246)","(0.7035345527345638, 0.11159252011122531)"
DblMuTrigSFDown,"(3.9886909207376484, 0.020725293910850463)",-,-,"(1.8435181898593218, 0.21908577819848185)","(1.8254384680314726, 0.07967932586021999)","(0.7030670682781712, 0.1114977156713647)"
JetResUp,"(3.991189936731158, 0.020739263884076202)",-,-,"(1.9864178572395825, 0.21903534038076944)","(1.830049790088657, 0.07981725300800388)","(0.7103365731962235, 0.11019396153971459)"
JetResDown,"(3.9922189813426714, 0.02074829241068056)",-,-,"(1.8832343469592492, 0.21881358860101344)","(1.8236739731477998, 0.07974118948694023)","(0.7034861196878697, 0.11160189364846891)"
JetEnUp,"(4.017719237019877, 0.020817636730761625)",-,-,"(2.0306970674613165, 0.22622337778742804)","(1.8408635478084057, 0.07986791552226682)","(0.7306891764850644, 0.11175762366895872)"
JetEnDown,"(3.9627251754519346, 0.020657752544477864)",-,-,"(1.7561448371335933, 0.21401572933357133)","(1.8159784879012246, 0.07950997139091194)","(0.6944025503830275, 0.11137380121167202)"
MuonEnUp,"(3.991197239392689, 0.02073171657015931)",-,-,"(1.8623376445503506, 0.21956039467531652)","(1.8296159566639456, 0.07976922787703407)","(0.6994029454121711, 0.11153890744445517)"
MuonEnDown,"(3.983582089195854, 0.02071429823836379)",-,-,"(1.7926741379832238, 0.21580084186162066)","(1.80682363048243, 0.0798717361234823)","(0.6039842354726651, 0.05016273194090903)"
NonpromptUp,-,"(15.812726541162709, 3.0878628055048396)",-,-,-,-
NonpromptDown,-,"(7.120713336446122, 1.9219443975750843)",-,-,-,-
ConversionUp,-,-,"(0.6916240346349254, 0.4790856442312918)",-,-,-
ConversionDown,-,-,"(0.31919168325909547, 0.2211030061848173)",-,-,-
