,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,43880839.53046758,255859.44762319344
ptCorr_10to15_abseta_0p8to1p479,27977609.576049104,204506.41495249348
ptCorr_10to15_abseta_1p479to2p5,23525743.48062128,187216.14940817154
ptCorr_15to20_abseta_0p0to0p8,17582586.57120379,162749.89447788286
ptCorr_15to20_abseta_0p8to1p479,13281375.751609828,141388.3097568833
ptCorr_15to20_abseta_1p479to2p5,13078166.360291593,139964.80157510817
ptCorr_20to25_abseta_0p0to0p8,7146592.783210598,103813.9144937504
ptCorr_20to25_abseta_0p8to1p479,6182118.037152458,96688.61937306765
ptCorr_20to25_abseta_1p479to2p5,6447301.639461072,98409.04070117675
ptCorr_25to35_abseta_0p0to0p8,5193241.139448501,88141.02928648784
ptCorr_25to35_abseta_0p8to1p479,4850072.465348901,84975.58266126842
ptCorr_25to35_abseta_1p479to2p5,5152878.214089586,87059.99379505125
ptCorr_35to50_abseta_0p0to0p8,1812866.0200875578,50087.71011959483
ptCorr_35to50_abseta_0p8to1p479,1770914.7461958355,48789.77699106804
ptCorr_35to50_abseta_1p479to2p5,2037212.3828629558,51600.787429982156
ptCorr_50to100_abseta_0p0to0p8,694796.730404789,22986.562022204613
ptCorr_50to100_abseta_0p8to1p479,781574.8189426864,24089.769173822213
ptCorr_50to100_abseta_1p479to2p5,1040543.2856801548,27797.38094189164
