,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,1925932.6318779676,242851.30980570865
ptCorr_10to15_abseta_0p8to1p479,2021873.1582420764,242627.01089339764
ptCorr_10to15_abseta_1p479to2p5,4561182.513481288,372303.4003100687
ptCorr_15to20_abseta_0p0to0p8,1435457.7884589597,207380.0187532317
ptCorr_15to20_abseta_0p8to1p479,1386011.0988558289,209682.09188103507
ptCorr_15to20_abseta_1p479to2p5,5788410.70615267,418623.2172182782
ptCorr_20to25_abseta_0p0to0p8,2090506.9628180338,251684.4685462657
ptCorr_20to25_abseta_0p8to1p479,2737239.5004199203,292688.43398912274
ptCorr_20to25_abseta_1p479to2p5,9744527.689910436,560213.2768806744
ptCorr_25to35_abseta_0p0to0p8,2447710.718875453,271355.0348547292
ptCorr_25to35_abseta_0p8to1p479,3315681.8476248803,314343.49248472543
ptCorr_25to35_abseta_1p479to2p5,13549455.18702098,659190.4029543612
ptCorr_35to50_abseta_0p0to0p8,1793329.1236510403,195666.59289526552
ptCorr_35to50_abseta_0p8to1p479,2392351.58514993,224324.6970643073
ptCorr_35to50_abseta_1p479to2p5,9438444.188059354,449625.3958132009
ptCorr_50to100_abseta_0p0to0p8,1440787.1030408312,118899.61923680601
ptCorr_50to100_abseta_0p8to1p479,2064644.6412111681,142410.0718491233
ptCorr_50to100_abseta_1p479to2p5,7522908.711012404,255389.08079683242
