,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,3263231.179783704,311245.33266042604
ptCorr_10to15_abseta_0p8to1p479,3338123.53450118,312417.5203469871
ptCorr_10to15_abseta_1p479to2p5,7592336.163107715,488362.6794530991
ptCorr_15to20_abseta_0p0to0p8,3791741.0915456153,333271.65002124937
ptCorr_15to20_abseta_0p8to1p479,3423703.2608644757,330054.67433759395
ptCorr_15to20_abseta_1p479to2p5,14129831.3876554,667516.061015199
ptCorr_20to25_abseta_0p0to0p8,8026821.560286197,508105.5882619842
ptCorr_20to25_abseta_0p8to1p479,8893446.017263614,535334.5824502317
ptCorr_20to25_abseta_1p479to2p5,30462865.782668203,1012819.4507250746
ptCorr_25to35_abseta_0p0to0p8,14322983.904571144,660779.782357618
ptCorr_25to35_abseta_0p8to1p479,15678231.986792928,702058.009468777
ptCorr_25to35_abseta_1p479to2p5,54664007.26631373,1323819.8566622585
ptCorr_35to50_abseta_0p0to0p8,13029024.526676899,521899.19504452165
ptCorr_35to50_abseta_0p8to1p479,14273134.632877031,555183.4295721862
ptCorr_35to50_abseta_1p479to2p5,50277828.069842815,1029414.6019910161
ptCorr_50to100_abseta_0p0to0p8,8452473.722805243,281900.98380223534
ptCorr_50to100_abseta_0p8to1p479,9405566.092758624,290340.92673932936
ptCorr_50to100_abseta_1p479to2p5,43501938.92934082,627253.616100999
