,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,77874375.28067446,341008.668196972
ptCorr_10to15_abseta_0p8to1p479,47661178.12297068,266935.5205213038
ptCorr_10to15_abseta_1p479to2p5,37791806.93027891,237287.93111927976
ptCorr_15to20_abseta_0p0to0p8,46351574.34940993,264351.0201425653
ptCorr_15to20_abseta_0p8to1p479,31248708.857003268,216951.27237209067
ptCorr_15to20_abseta_1p479to2p5,27731861.799507976,203916.97741338966
ptCorr_20to25_abseta_0p0to0p8,25419235.68248055,195878.10121137768
ptCorr_20to25_abseta_0p8to1p479,18054964.4078566,164969.70163610045
ptCorr_20to25_abseta_1p479to2p5,16371764.43011574,156765.9886115158
ptCorr_25to35_abseta_0p0to0p8,24532433.8530761,191026.8461925293
ptCorr_25to35_abseta_0p8to1p479,18067561.901363563,163446.9185392368
ptCorr_25to35_abseta_1p479to2p5,16486776.900407908,155767.62217504706
ptCorr_35to50_abseta_0p0to0p8,12092912.629288428,128240.25103047148
ptCorr_35to50_abseta_0p8to1p479,9187006.441471314,110665.9266849486
ptCorr_35to50_abseta_1p479to2p5,8527900.058332158,105838.94339439594
ptCorr_50to100_abseta_0p0to0p8,5579732.976909257,66432.77469961125
ptCorr_50to100_abseta_0p8to1p479,4239914.03380647,56254.81875493149
ptCorr_50to100_abseta_1p479to2p5,4533087.898626482,58361.535092328246
