syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(30.446213883024424, 0.17995759629525734)","(20.796987156787793, 3.0198887434333423)","(-0.5523981073055975, 1.3693584711359583)","(2.5296705674930147, 0.2211824878931879)","(3.6331480640591, 0.10218396332861476)","(1.3640001047534147, 0.13842047738349234)"
L1PrefireUp,"(30.135661087479285, 0.17822854568771768)",-,-,"(2.5047322522534006, 0.21915534101287656)","(3.5895629187218088, 0.10106419769837861)","(1.3426148576416335, 0.13708158184111463)"
L1PrefireDown,"(30.74900410888366, 0.18166389142661646)",-,-,"(2.554017899406187, 0.2232057890753469)","(3.676005277588632, 0.10330367315866354)","(1.3850817844143977, 0.13964186760764047)"
PileupReweightUp,"(30.268369607234998, 0.19499699092839312)",-,-,"(2.499453804036286, 0.24277060970604158)","(3.621023349932305, 0.1098622630199733)","(1.369290302379523, 0.13894560951669158)"
PileupReweightDown,"(30.64047843276781, 0.17308153858401398)",-,-,"(2.5184121410918734, 0.20691731530231788)","(3.6493790041064273, 0.09857971926684499)","(1.3603033930800175, 0.13843755482428546)"
MuonIDSFUp,"(31.076442152931882, 0.18371166050605361)",-,-,"(2.5926175379822083, 0.22565589044691206)","(3.7098420199243582, 0.1042895328921148)","(1.3940466688624793, 0.14205390947297986)"
MuonIDSFDown,"(29.823285985782345, 0.17627737374113508)",-,-,"(2.4676299675052347, 0.21679706384573075)","(3.557400174867558, 0.10012043280135163)","(1.334274438625112, 0.13480811581122668)"
DblMuTrigSFUp,"(30.450640018509617, 0.17998339873261504)",-,-,"(2.5300787821504716, 0.22121315983717751)","(3.633711489189406, 0.10219964049549404)","(1.3642112380461158, 0.13845823528297613)"
DblMuTrigSFDown,"(30.44172787379354, 0.17993145132455318)",-,-,"(2.529255930657247, 0.22115137562244355)","(3.632576551917618, 0.10216806759240693)","(1.3637860096686114, 0.13838211629743175)"
JetResUp,"(30.468127038563985, 0.18004832027867104)",-,-,"(2.6773588951327154, 0.22350636803116067)","(3.6301453708431666, 0.10215958977378811)","(1.3695944620048024, 0.138292623572002)"
JetResDown,"(30.436743125961087, 0.17993566096856298)",-,-,"(2.541015762305367, 0.223463549850022)","(3.6321199204690675, 0.10221260309607026)","(1.3644156636478522, 0.13846621855723523)"
JetEnUp,"(30.68553008485535, 0.1807200030437112)",-,-,"(2.669327055676043, 0.2274129578278617)","(3.6465572987239527, 0.10231201995258671)","(1.3872733659492975, 0.13863809247783537)"
JetEnDown,"(30.220370881440665, 0.1793209290680954)",-,-,"(2.439503469380481, 0.21737288497890883)","(3.6129597393361528, 0.10194609774250481)","(1.3540582340281555, 0.13816549074320458)"
MuonEnUp,"(30.45034946152855, 0.17995328883518844)",-,-,"(2.529685872486446, 0.22117782199312566)","(3.631537149563391, 0.10205909898099454)","(1.4718712752451206, 0.17725218397946324)"
MuonEnDown,"(30.427787146436675, 0.17986838523014556)",-,-,"(2.5530212196415105, 0.22206822557964565)","(3.622934593214155, 0.10217198036557326)","(1.2356664736765586, 0.06413350389956007)"
ElectronEnUp,"(30.446213883024424, 0.17995759629525734)",-,-,"(2.5296705674930147, 0.2211824878931879)","(3.6331480640591, 0.10218396332861476)","(1.3640001047534147, 0.13842047738349234)"
ElectronEnDown,"(30.446213883024424, 0.17995759629525734)",-,-,"(2.5296705674930147, 0.2211824878931879)","(3.6323015782290056, 0.10218746938741675)","(1.3640001047534147, 0.13842047738349234)"
ElectronResUp,"(30.446213883024424, 0.17995759629525734)",-,-,"(2.5296705674930147, 0.2211824878931879)","(3.6331480640591, 0.10218396332861476)","(1.3640001047534147, 0.13842047738349234)"
ElectronResDown,"(30.446213883024424, 0.17995759629525734)",-,-,"(2.5296705674930147, 0.2211824878931879)","(3.6331480640591, 0.10218396332861476)","(1.3640001047534147, 0.13842047738349234)"
NonpromptUp,-,"(42.92174017449419, 5.798944988271326)",-,-,-,-
NonpromptDown,-,"(11.29256488750621, 2.55911071214808)",-,-,-,-
ConversionUp,-,-,"(-1.5763044016800674, 2.6765367469807604)",-,-,-
ConversionDown,-,-,"(0.47150818706887326, 0.21432347909110794)",-,-,-
