syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(3.6707953053816174, 0.019525037782612564)","(7.210731402345972, 1.3070369557068542)","(0.43827713267618207, 0.2571016732440475)","(2.3191121970126196, 0.24348579217330524)","(2.5414837391398244, 0.09048366794891329)","(0.706515460645832, 0.056310603159983756)"
L1PrefireUp,"(3.63280252586127, 0.019327804020834043)",-,-,"(2.2955243360249624, 0.2409933340072589)","(2.5111358754725273, 0.08946395262209188)","(0.6978023698249257, 0.05556707870312639)"
L1PrefireDown,"(3.7077818544526213, 0.019718004269414523)",-,-,"(2.342230309129271, 0.24598076715180658)","(2.571436664202463, 0.09149323684343709)","(0.7151478975495278, 0.057059392835903076)"
PileupReweightUp,"(3.623004593835948, 0.01924879587140433)",-,-,"(2.3214396158462427, 0.24209579593956004)","(2.5169535713087985, 0.08939444658148725)","(0.71055754303317, 0.055620532149898934)"
PileupReweightDown,"(3.714984738465993, 0.020115541576223774)",-,-,"(2.3149214960567552, 0.2487345606724613)","(2.5552559349557797, 0.09287303704035)","(0.7053217518134722, 0.05791564056010365)"
MuonIDSFUp,"(3.7505323836566467, 0.019953878040197805)",-,-,"(2.36991120918761, 0.24810395405416427)","(2.5987759733782063, 0.09256549879489603)","(0.7231363055395893, 0.05747840251615452)"
MuonIDSFDown,"(3.59200717766883, 0.01910549921090712)",-,-,"(2.2689824583518394, 0.23895212348034134)","(2.484889318448283, 0.08844755336636462)","(0.6901115888570458, 0.055166271871358676)"
DblMuTrigSFUp,"(3.6719911991800633, 0.019531345202188237)",-,-,"(2.319970093794938, 0.24357149261950958)","(2.5423767283155114, 0.09051557569753006)","(0.7067498780643786, 0.056327194008389155)"
DblMuTrigSFDown,"(3.669585464275636, 0.019518658609184992)",-,-,"(2.3182438438048565, 0.24339907343720132)","(2.5405792662543654, 0.09045136372665007)","(0.7062781705579765, 0.05629383233080149)"
JetResUp,"(3.6735222885066823, 0.019532155396720537)",-,-,"(2.3448278875994477, 0.24707640823719207)","(2.5310631161381227, 0.09042607230427087)","(0.7050832801608948, 0.056388147304538165)"
JetResDown,"(3.670940976833249, 0.019526640368056437)",-,-,"(2.26756979834795, 0.2410096320746109)","(2.531039060413475, 0.09038108348251525)","(0.7031408483852439, 0.05616707205546239)"
JetEnUp,"(3.698937794271857, 0.019598693197205364)",-,-,"(2.3876127307578505, 0.2475977810093124)","(2.541055973462324, 0.09066076236159817)","(0.7179658352787008, 0.0566491477187765)"
JetEnDown,"(3.642214010074567, 0.019445877837378448)",-,-,"(2.198537688595501, 0.23875568173223816)","(2.529324047839091, 0.09032274624630711)","(0.6947622886424124, 0.05575159674760167)"
MuonEnUp,"(3.673803840308986, 0.019531940305272538)",-,-,"(2.306015862926468, 0.24286351281743712)","(2.534062830239925, 0.09040306034801324)","(0.7134650838598021, 0.05626487703205356)"
MuonEnDown,"(3.665681768833896, 0.019514557513723187)",-,-,"(2.319861807344855, 0.2435095130746201)","(2.54180886765373, 0.09041765404322014)","(0.715537074351404, 0.056340280107415486)"
NonpromptUp,-,"(17.23304924620903, 2.9727835600963566)",-,-,-,-
NonpromptDown,-,"(2.1813993857706424, 1.1119697375729347)",-,-,-,-
ConversionUp,-,-,"(0.5997591715753445, 0.35183009803391624)",-,-,-
ConversionDown,-,-,"(0.27679509377701966, 0.16237324845417878)",-,-,-
