syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(8.315463801373141, 0.031145254911774244)","(63.4197236700748, 5.651070579522091)","(0.9465249688712587, 0.3597522381981577)","(36.85017093311867, 1.4790501842793888)","(32.65328885526201, 0.3185823616840602)","(12.592145436019257, 0.4136563050169807)"
L1PrefireUp,"(8.273058497121893, 0.031008214952741885)",-,-,"(36.66729146243125, 1.4731672431509297)","(32.41266023033807, 0.31663511651134524)","(12.450750857023921, 0.4112749195100043)"
L1PrefireDown,"(8.357078690387409, 0.03128334957622235)",-,-,"(37.030035183964, 1.4849345876401414)","(32.89158459859367, 0.32057928388968254)","(12.733602549715984, 0.4160586383005173)"
PileupReweightUp,"(8.250411282558732, 0.0320162604064135)",-,-,"(36.85242109959826, 1.5457291996869063)","(32.42837228295106, 0.3303888795261847)","(12.473167720873525, 0.4216666052710176)"
PileupReweightDown,"(8.371683032981382, 0.03153755280142902)",-,-,"(36.81753280731071, 1.4747638523589464)","(32.89201237878358, 0.32230268547073426)","(12.70352657643904, 0.3992127865991945)"
MuonIDSFUp,"(8.455730931675726, 0.031666397187228336)",-,-,"(37.527432003185645, 1.504691517312075)","(33.190895688194175, 0.3237786192990935)","(12.820601493294548, 0.42081161105494364)"
MuonIDSFDown,"(8.17664710726573, 0.03063534930881584)",-,-,"(36.18077769051019, 1.4539583473078228)","(32.12137907548695, 0.3134961666684927)","(12.366344483350453, 0.4066668863131697)"
DblMuTrigSFUp,"(8.316803697128439, 0.031150211461714847)",-,-,"(36.85691383039162, 1.479312955488979)","(32.65987507009646, 0.3186466551070729)","(12.594359686678853, 0.4137278020438723)"
DblMuTrigSFDown,"(8.314111614477891, 0.03114025373044958)",-,-,"(36.84335580664484, 1.4787846364110193)","(32.64663323902967, 0.3185173990136745)","(12.589908859588633, 0.4135841929056252)"
JetResUp,"(8.334487278839458, 0.03117869510609001)",-,-,"(38.12152116194395, 1.504981080297998)","(32.64473075507455, 0.31849878399878995)","(12.573158458408363, 0.3964871044969004)"
JetResDown,"(8.305000932341446, 0.03113045021946403)",-,-,"(36.60193236564411, 1.4624353165869475)","(32.66172863568774, 0.31855550841870256)","(12.523508764725138, 0.39681129696021317)"
JetEnUp,"(8.406887468749542, 0.031323614553165874)",-,-,"(39.17694858308734, 1.532317474092624)","(32.81020864329307, 0.3193754554227205)","(12.834840780491017, 0.4146923217263237)"
JetEnDown,"(8.219710846722784, 0.030960710155999462)",-,-,"(34.71690011963935, 1.4242211230411077)","(32.53104225247952, 0.3179247192716281)","(12.381292811686002, 0.41081379245164806)"
MuonEnUp,"(8.321365965292921, 0.031156901963263473)",-,-,"(37.8868515019423, 1.4950459953509152)","(33.29787715002016, 0.3219832706859635)","(12.845235669610124, 0.414968537272718)"
MuonEnDown,"(8.3064920830779, 0.031131518358263124)",-,-,"(36.02153463158283, 1.4606487044430512)","(32.04903925824327, 0.31526448122984807)","(12.32481726897351, 0.4103585209848155)"
NonpromptUp,-,"(125.94207362417356, 9.78745688518376)",-,-,-,-
NonpromptDown,-,"(30.526511689979408, 4.739179824706084)",-,-,-,-
ConversionUp,-,-,"(1.3009943680288565, 0.49447785444024417)",-,-,-
ConversionDown,-,-,"(0.5920555697136606, 0.22502662195607123)",-,-,-
